mjd	mag	rmsmag	band
60787.11446835648	23.302	0.157	i
60787.115997361114	23.186	0.151	i
60787.11701686343	23.029	0.14	i
60787.118650358796	23.291	0.168	i
60787.12533436342	23.473	0.182	i
60787.12636576389	23.152	0.173	i
60787.12788755787	23.327	0.159	i
60787.13043505787	23.132	0.131	i
60787.13145516204	23.021	0.11	i
60787.13298486111	23.323	0.159	i
60790.12192716435	23.251	0.153	r
60790.124511354166	23.587	0.189	r
60790.13322856482	23.287	0.132	r
60790.13563986111	23.802	0.12	g
60790.13718815972	23.862	0.129	g
60790.138225462964	24.087	0.166	g
60790.14074466435	24.073	0.183	g
60790.14326486111	23.813	0.138	g
60790.14901275463	23.605	0.117	g
60790.17793346065	23.602	0.135	g
60790.180328159724	23.297	0.156	i
60790.18188925926	23.151	0.152	i
60790.18323115741	23.033	0.156	i
60790.18588255787	23.211	0.159	i
60790.18743475695	23.014	0.148	i
60790.1885165625	23.317	0.166	i
60790.19006706018	23.24	0.16	i
60793.14243385417	23.646	0.123	g
60793.19250736111	23.563	0.152	r
60793.19631126158	24.119	0.188	g
60793.19783606481	23.657	0.12	g
60793.20133846065	23.577	0.12	g
60793.20284346065	23.893	0.163	g
60793.20536186342	23.653	0.144	g
