mjd	phase angle	mag	rmsmag	band
60797.02380675926	18.792012337466474	23.002	0.126	i
60797.02622675926	18.793312609738624	23.204	0.15	i
60797.02870606481	18.794649727446092	23.21	0.149	i
60797.03851436343	18.79985797488623	23.1	0.134	i
60797.04093456019	18.80117407180374	23.011	0.117	i
60797.04335706018	18.802450290236052	23.486	0.16	i
60797.060553564814	18.81162691296308	23.313	0.099	r
60797.06298335648	18.81291822085463	23.142	0.078	r
60797.06782055555	18.815497632710294	23.069	0.074	r
60797.072723958336	18.81810305817655	23.002	0.089	r
60797.07513615741	18.819393171997948	23.133	0.087	r
60797.07760085648	18.82071297390296	22.982	0.075	r
60797.082482060185	18.823320156143673	22.989	0.075	r
60797.09201576389	18.82839228057379	23.917	0.133	g
60797.09683826389	18.830971965673395	23.961	0.139	g
60797.101671261575	18.833546695548495	23.52	0.093	g
60797.109007453706	18.837434047217048	23.807	0.134	g
60797.11142436343	18.83874468893485	23.667	0.113	g
60797.12118805556	18.843956762573935	23.865	0.124	g
60797.126062662035	18.84654474006784	23.654	0.123	g
60797.12704315972	18.84707159299554	23.696	0.116	g
60798.012517256946	19.31494845775873	22.742	0.15	i
60798.01398425926	19.315729904039774	22.852	0.177	i
60798.015929664354	19.31677483733769	22.605	0.145	i
60798.02083716435	19.319370843656355	23.232	0.217	i
60798.02287126157	19.320450991616465	22.976	0.197	i
60798.02528725695	19.321730815154684	22.677	0.15	i
60798.03502335648	19.326902132440768	22.991	0.187	i
60798.04419876157	19.33174336437629	22.966	0.126	r
60798.04664755787	19.333045303372987	23.0	0.112	r
60798.049075856485	19.33436079257495	23.262	0.166	r
60798.053933854164	19.336933960944037	23.368	0.196	r
60798.05645005787	19.338288853381183	23.174	0.162	r
60798.058896863426	19.33953014873663	23.09	0.133	r
60798.06135585648	19.340841730250087	23.081	0.135	r
60798.0637790625	19.3421600637891	23.039	0.138	r
60798.06865775463	19.34471678209084	22.819	0.119	r
60798.07845956019	19.349928736313966	22.991	0.127	r
60798.08335165509	19.35255745101413	23.248	0.155	r
60798.085868159724	19.353897231402538	23.077	0.139	r
60798.09070195602	19.35642912008135	23.046	0.106	r
60798.097968263886	19.360289487422776	23.074	0.122	r
60798.107463657405	19.365307679369696	23.651	0.155	g
60798.109881261575	19.366583066946667	23.507	0.132	g
60798.110360659724	19.36690886640036	23.758	0.204	g
60798.1123115625	19.36785076440364	23.767	0.168	g
60798.1132790625	19.368406232102533	23.706	0.173	g
60798.11717415509	19.370465018524776	23.728	0.157	g
60798.12211305556	19.37307672114274	23.725	0.162	g
60798.12504675926	19.374646551263442	23.633	0.161	g
60798.12653505787	19.375456873827627	23.819	0.214	g
60798.127994560185	19.3762300847967	23.875	0.213	g
60799.0284990625	19.849549098048307	23.075	0.141	i
60799.03143986111	19.851063839869173	23.178	0.196	i
60799.03339486111	19.85211023512257	22.979	0.14	i
60799.08498846065	19.87932930868253	23.267	0.122	r
60799.08746826389	19.880633025048784	23.104	0.128	r
60799.08988535879	19.881920970055305	23.108	0.103	r
60799.090375659725	19.8821745643646	23.066	0.119	r
60799.092355960645	19.883225692783405	23.147	0.105	r
60799.0973028588	19.885826505623204	23.044	0.106	r
60799.09779126157	19.886091542049606	23.159	0.127	r
60799.09988065972	19.88720883211295	22.917	0.104	r
60799.103849259256	19.88927098239844	23.196	0.143	r
60799.10482486111	19.889804852769313	23.052	0.094	r
60799.107274664355	19.891094241423808	23.127	0.104	r
60799.10823016203	19.891597466770765	23.283	0.142	r
60799.112077060185	19.893637105122615	22.989	0.096	r
60799.11254835648	19.89387472144515	23.052	0.106	r
60799.11704016204	19.89624543598869	22.981	0.095	r
60799.118527453706	19.8970444472687	23.044	0.11	r
60799.11948596065	19.89754027320505	23.009	0.084	r
60799.11996665509	19.897786827601912	23.059	0.09	r
60799.12192055555	19.898818317003645	23.066	0.095	r
60799.12290326389	19.89934244315876	22.964	0.095	r
60799.126800555554	19.901393026855423	23.168	0.103	r
60799.13327326389	19.90480021545144	23.057	0.103	r
60799.13474085648	19.905588581664613	23.122	0.093	r
60799.13620995371	19.90635416782148	23.198	0.108	r
60799.13671986111	19.90663312195058	23.18	0.091	r
60799.14676686343	19.911917239617946	23.848	0.173	g
60799.14965525463	19.9134391611857	23.899	0.154	g
60799.1501324537	19.913701418348744	23.991	0.142	g
60799.15112516204	19.91422202187007	23.866	0.147	g
