mjd	mag_val	mag_band
60795.16661412037	24.05	g
60793.198820115744	23.96	g
60797.121673125	24.14	g
60797.09731612269	24.25	g
60797.111905115744	24.07	g
60798.12016412037	23.88	g
60795.15644211805	24.02	g
60797.096838125	24.05	g
60793.13754011574	24.00	g
60798.11378112269	23.84	g
60799.14917511574	24.24	g
60793.19631112269	24.32	g
60793.136568125	24.20	g
60797.12997412037	24.02	g
60798.10552511574	23.91	g
60798.12996211806	24.00	g
60797.10322011574	24.24	g
60797.127551122685	24.15	g
60795.165638125	24.16	g
60798.11620912037	23.68	g
60797.124098125	24.16	g
60797.10707511574	24.14	g
60795.15052112268	24.15	g
60790.13822511574	24.12	g
60793.14095511574	23.97	g
60797.110457118055	24.07	g
60795.15396711806	24.12	g
60798.13240711806	24.12	g
60798.10890412037	24.00	g
60793.14390412037	24.08	g
60797.12264511574	24.16	g
60795.15297711806	24.14	g
60797.092498125	24.23	g
60793.19731711806	23.80	g
60795.15151011574	24.26	g
60798.12114412037	23.95	g
60797.12900011574	23.97	g
60798.12850011574	24.04	g
60797.09973912037	23.93	g
60793.138516122686	23.77	g
60798.11134011574	24.07	g
60797.11142412037	24.00	g
60793.19982011574	24.18	g
60797.117795115744	24.22	g
60793.139983125	24.08	g
60797.08865511574	24.45	g
60799.15409711806	24.19	g
60790.14074511574	24.05	g
60797.09105412037	23.97	g
60793.14144412037	24.07	g
60798.10407511574	23.85	g
60797.09587011574	23.89	g
60799.15064412037	24.05	g
60799.15313711805	24.12	g
60798.122597118054	23.93	g
60799.156622118055	24.07	g
60797.09490211806	23.92	g
60799.14676711806	24.09	g
60795.166131122685	24.14	g
60797.11385511574	24.14	g
60797.098303125	24.32	g
60797.11529112268	24.07	g
60793.13511112268	23.65	g
60798.110361122686	23.86	g
60797.11433011574	24.13	g
60797.126553125	24.18	g
60793.139002118056	23.89	g
60797.131449120374	24.00	g
60797.09009412037	24.24	g
60797.100711122686	24.06	g
60798.10649511574	24.04	g
60797.102168125	24.42	g
60799.15161511574	24.07	g
60797.12509112268	24.12	g
60795.146578125	24.16	g
60797.126063125	24.15	g
60795.14905211805	24.46	g
60799.14432112269	24.00	g
60797.10465412037	24.26	g
60793.14243412037	23.89	g
60795.15494912037	24.03	g
60797.12851711806	24.09	g
60799.03884612268	23.14	i
60797.027720115744	23.51	i
60797.03994912037	23.48	i
60797.03405511574	23.50	i
60797.025270115744	23.46	i
60799.00996511574	23.32	i
60799.03144011574	23.50	i
60798.01153011574	23.23	i
60797.03657412037	23.57	i
60797.02671612269	23.66	i
60797.03158912037	23.75	i
60798.02432912037	22.99	i
60790.18137711805	23.38	i
60798.03062211806	22.97	i
60797.050783125	23.55	i
60797.02918711805	23.33	i
60797.02183912037	23.42	i
60799.02652011574	23.43	i
60790.18188912037	23.39	i
60797.03754511574	23.26	i
60799.017438125	23.37	i
60797.041410115744	23.56	i
60797.03256612268	23.71	i
60799.01243011574	23.43	i
60799.01492011574	23.45	i
60797.03511912037	23.53	i
60797.02428612269	23.18	i
60797.043868125	23.56	i
60797.022848125	23.54	i
60798.04712912037	23.62	r
60799.13082612269	23.66	r
60799.094821122686	23.66	r
60797.062021122685	23.63	r
60799.10289011574	23.41	r
60798.05442511574	23.33	r
60798.08383511574	23.75	r
60793.18652511574	23.68	r
60793.19351412037	23.55	r
60799.101367118055	23.81	r
60797.057153125	23.67	r
60795.034531122685	23.64	r
60799.11852711806	23.87	r
60798.09359511574	23.50	r
60797.06685912037	23.60	r
60799.125808125	23.52	r
60797.061048125	23.66	r
60798.052971122685	23.27	r
60795.035512118055	23.57	r
60795.07123912037	23.72	r
60797.08152011574	23.65	r
60790.119357118056	23.58	r
60798.07020511574	23.38	r
60799.10040011574	23.61	r
60798.06377912037	23.38	r
60798.06426912037	23.41	r
60797.068298125	23.60	r
60795.101197118056	23.25	r
60793.18701511574	23.56	r
60798.04320011574	23.52	r
60799.11608412037	23.43	r
60798.08731011574	23.62	r
60799.08794612269	23.58	r
60798.05199412037	23.52	r
60795.06974511574	24.01	r
60790.123462118056	23.51	r
60798.04270511574	23.58	r
60795.09771412037	23.78	r
60797.07416412037	23.68	r
60798.084898125	23.48	r
60797.07080112268	23.72	r
60799.133273125	23.56	r
60799.088911122686	23.82	r
60797.08052511574	23.84	r
60797.06443011574	23.57	r
60798.07993511574	23.31	r
60795.06723511574	23.71	r
60797.05863412037	23.66	r
60795.092543125	23.46	r
60799.113618125	23.67	r
60799.11111612269	23.90	r
60797.065866122684	23.63	r
60790.12451112268	23.36	r
60798.09844612268	23.49	r
60799.09779112269	23.79	r
60798.06183612269	23.69	r
60799.09887112268	23.71	r
60799.09235612269	23.49	r
60797.084026122684	23.55	r
60798.09700412037	23.48	r
60795.03209011574	23.48	r
60799.135720115744	23.78	r
60799.10384912037	23.77	r
60793.191503125	23.37	r
60798.071651122686	23.57	r
60799.12339412037	23.62	r
60799.09534011574	23.60	r
60799.13816011574	23.66	r
60799.086453125	23.68	r
60799.10871612268	23.47	r
60799.105318125	23.34	r
60798.05696711806	23.26	r
60798.04046211806	23.48	r
60795.05606912037	23.70	r
60798.07505011574	23.66	r
60797.07176211805	23.84	r
60798.088756122685	23.35	r
60799.120928125	23.80	r
60799.122415115744	23.64	r
60798.05054912037	23.38	r
60797.062983125	23.74	r
60795.03306511574	23.56	r
60795.07370612268	23.74	r
60798.048107118055	23.35	r
60799.12729211806	23.60	r
60790.12192711805	23.46	r
60797.05959511574	23.64	r
60799.09634412037	23.52	r
60799.11996711806	23.56	r
60795.03062912037	23.79	r
60799.11755711806	23.61	r
60793.19250711805	23.66	r
60798.08972711806	23.71	r
60797.05619711806	23.93	r
60799.107752118056	23.63	r
60799.08549511574	23.80	r
60797.06936612268	23.81	r
60797.07321011574	23.70	r
60797.07562112268	23.78	r
60799.083994120374	23.66	r
60799.11016412037	23.72	r
60797.07660912037	23.68	r
60793.18551112268	23.32	r
60798.09118011574	23.56	r
60795.068768125	23.77	r
60798.09604211806	23.70	r
60799.13474112268	23.68	r
60799.13231612268	23.68	r
60797.06346412037	23.75	r
60790.13322912037	23.52	r
60798.07746612268	23.56	r
60798.06768412037	23.31	r
