mjd	phase angle	mag	rmsmag	band
60795.03062936343	18.15189470110799	22.28	0.052	r
60795.03208975695	18.152706623196842	22.268	0.047	r
60795.03306525463	18.153234122748966	22.26	0.048	r
60795.03453106481	18.154036601516214	22.23	0.042	r
60795.0355124537	18.154572894901296	22.205	0.049	r
60795.06974466435	18.1732799847369	22.213	0.038	r
60795.07221305556	18.174624043617595	22.201	0.041	r
60795.09771436342	18.188564361042264	22.302	0.041	r
60797.02038376158	19.227481162508795	21.64	0.052	i
60797.02284755787	19.22880405404357	21.666	0.034	i
60797.024286354164	19.22957662910491	21.658	0.034	i
60797.02526956019	19.230105394786364	21.643	0.035	i
60797.02671626157	19.230892630393544	21.653	0.029	i
60797.027719861115	19.231437613776894	21.603	0.036	i
60797.02918745371	19.232226777132823	21.659	0.032	i
60797.030152453706	19.232749929174584	21.592	0.031	i
60797.031588564816	19.233521437036107	21.597	0.03	i
60797.032566354166	19.234052578159584	21.576	0.028	i
60797.034055358796	19.234853997949404	21.661	0.027	i
60797.035119155094	19.235425408824344	21.648	0.034	i
60797.0365740625	19.23621592856835	21.616	0.032	i
60797.037545162035	19.236739377600216	21.613	0.031	i
60797.039948564816	19.2380387727189	21.65	0.032	i
60797.04140956019	19.238826642642685	21.571	0.03	i
60797.042377164355	19.2393500703786	21.656	0.029	i
60797.0448578588	19.240692651390926	21.66	0.031	i
60797.04629665509	19.241472998639804	21.712	0.034	i
60797.04725445602	19.241987323206562	21.603	0.03	i
60797.05078275463	19.243895210011345	21.625	0.029	i
60797.05475565972	19.246032915547584	21.756	0.027	r
60797.05715296296	19.247330078985296	21.771	0.025	r
60797.058633657405	19.24813145448211	21.731	0.027	r
60797.06202135417	19.249960317745085	21.761	0.024	r
60797.0634640625	19.25073708243788	21.76	0.022	r
60797.06442966435	19.251262358684126	21.784	0.027	r
60797.06586576389	19.25203866651933	21.752	0.025	r
60797.06685865741	19.252576320008554	21.795	0.023	r
60797.068297858794	19.253350617590307	21.783	0.023	r
60797.06936555556	19.25392978838447	21.739	0.03	r
60797.07176186342	19.255219551606096	21.732	0.024	r
60797.07321025463	19.256002144623846	21.753	0.027	r
60797.07416415509	19.25651935168118	21.744	0.025	r
60797.076608958334	19.257837673090503	21.789	0.023	r
