mjd	mag_val	mag_band
60798.12114412037	23.53	g
60797.12949511574	24.27	g
60793.13608711806	23.77	g
60793.13803112268	23.80	g
60797.10611511574	23.94	g
60797.09105412037	23.82	g
60797.09636011574	24.14	g
60798.12454511574	23.92	g
60793.14095511574	23.88	g
60793.13705412037	23.59	g
60797.10119511574	23.88	g
60790.14850912037	23.98	g
60797.121188125	24.05	g
60795.15101112268	23.76	g
60797.119243125	23.98	g
60790.141268125	23.80	g
60799.14579112268	23.90	g
60797.11094211806	24.20	g
60797.117795115744	23.88	g
60798.133472118054	23.73	g
60798.13191912037	23.91	g
60797.13250612268	24.04	g
60793.20183412037	23.72	g
60797.10900711806	24.03	g
60790.17847112269	23.85	g
60797.12070612269	24.30	g
60797.10417612269	24.07	g
60793.20333711806	23.73	g
60797.12313211805	23.84	g
60793.14293011574	23.71	g
60799.15112511574	23.84	g
60797.10707511574	24.04	g
60798.134933125	23.45	g
60793.13559912037	23.86	g
60797.092498125	24.05	g
60799.150132118055	24.02	g
60797.099263125	24.09	g
60795.15446511574	23.78	g
60795.148055115744	23.76	g
60795.150031122685	23.93	g
60790.136170115744	23.78	g
60797.12851711806	23.85	g
60797.118753125	23.97	g
60797.09009412037	24.29	g
60797.11337612269	23.91	g
60795.146578125	23.82	g
60793.19932112269	23.70	g
60793.20432412037	23.70	g
60798.10407511574	23.93	g
60797.09442412037	23.84	g
60797.11239412037	24.09	g
60797.133473125	23.81	g
60797.12804011574	24.04	g
60795.14954511574	23.83	g
60799.14531011574	23.87	g
60797.08865511574	23.94	g
60798.11182912037	23.78	g
60793.205853125	23.86	g
60799.14774112269	23.95	g
60798.10746412037	23.70	g
60797.127043125	24.20	g
60797.11828011574	23.75	g
60798.11475011574	23.59	g
60797.102168125	23.92	g
60798.12163011574	23.57	g
60797.121673125	24.14	g
60793.20083412037	23.64	g
60799.153621122685	23.95	g
60797.10659112268	24.07	g
60798.10552511574	23.85	g
60795.15494912037	23.88	g
60797.126063125	23.82	g
60797.131449120374	24.31	g
60790.138750115744	24.04	g
60793.20484412037	23.64	g
60798.109881122684	23.72	g
60797.12361011574	23.79	g
60797.107563125	23.68	g
60793.20231912037	23.69	g
60798.10698011574	23.52	g
60793.14193511574	23.68	g
60799.14676711806	23.80	g
60793.14047412037	23.92	g
60797.096838125	24.16	g
60797.108044120374	23.92	g
60798.11717412037	23.75	g
60797.103696122686	23.80	g
60797.11674211806	24.03	g
60799.14965511574	23.97	g
60797.08961412037	24.32	g
60798.134443125	23.60	g
60799.15457912037	23.76	g
60797.100223125	23.88	g
60790.17742011574	23.91	g
60798.12899211806	23.69	g
60797.13096711806	23.88	g
60797.09153912037	23.95	g
60797.09201612268	24.34	g
60793.14341912037	23.80	g
60793.19833011574	23.76	g
60790.14024112269	23.73	g
60797.101671122684	23.85	g
60798.11765511574	23.80	g
60797.097803125	23.87	g
60797.11577412037	23.86	g
60798.115723125	23.81	g
60797.116253125	24.06	g
60798.11870612269	23.93	g
60799.15210612269	23.60	g
60799.15262412037	24.03	g
60797.11385511574	24.19	g
60797.10465412037	23.91	g
60790.13771511574	23.79	g
60797.08913912037	23.79	g
60797.12264511574	23.96	g
60793.13949112268	23.95	g
60798.12016412037	24.00	g
60793.196798125	23.70	g
60798.114266122684	23.69	g
60795.14854511574	24.06	g
60793.144401122685	23.60	g
60793.138516122686	23.70	g
60799.14821612269	23.97	g
60795.14756612269	23.83	g
60798.10890412037	23.84	g
60790.136678125	23.79	g
60797.098783125	24.03	g
60790.148003125	23.75	g
60797.124098125	24.20	g
60795.15200412037	24.12	g
60793.19731711806	23.69	g
60798.107938125	23.89	g
60799.02849912037	23.37	i
60787.11028912037	23.02	i
60787.127381122686	22.97	i
60787.13196511574	22.84	i
60799.035886122685	23.20	i
60798.03551011574	22.98	i
60798.03262511574	23.06	i
60787.112947118054	22.79	i
60797.025270115744	23.26	i
60797.02822511574	23.23	i
60790.18377112268	23.18	i
60797.02575112269	23.19	i
60787.12839912037	22.76	i
60787.11395912037	22.84	i
60797.041410115744	23.37	i
60787.12687511574	22.91	i
60787.12941412037	22.81	i
60797.04288011574	23.54	i
60797.035602118056	22.88	i
60790.187974120374	23.08	i
60799.02752912037	22.95	i
60790.18905011574	23.14	i
60798.02965412037	22.91	i
60799.00996511574	23.43	i
60787.13094912037	22.73	i
60797.03511912037	23.21	i
60797.04725412037	23.20	i
60799.02342612269	23.27	i
60797.02428612269	23.21	i
60797.033545115744	23.35	i
60798.020837118056	23.01	i
60787.11497912037	22.86	i
60799.01795511574	22.98	i
60799.01243011574	23.33	i
60798.01446912037	23.05	i
60799.020942118055	23.16	i
60787.12431612269	22.73	i
60797.04437112268	23.58	i
60799.025038125	23.28	i
60797.026227118055	23.39	i
60799.01394711806	23.07	i
60797.02966912037	23.28	i
60798.02190112269	23.02	i
60798.01790612269	23.20	i
60787.125842118054	22.72	i
60798.01839011574	23.14	i
60799.03095612268	23.42	i
60797.022357118054	23.19	i
60797.03994912037	22.99	i
60797.02671612269	23.34	i
60799.03339511574	23.23	i
60787.129923125	22.85	i
60797.03256612268	23.19	i
60797.038033125	23.40	i
60797.043357118055	23.11	i
60797.02380711806	23.16	i
60797.04534511574	23.30	i
60797.023327118055	23.23	i
60797.050783125	23.10	i
60798.03406511574	22.93	i
60797.03306912037	23.30	i
60797.03608711805	23.41	i
60790.18267912037	23.06	i
60799.021938125	23.21	i
60799.03686612268	22.99	i
60797.03208011574	23.06	i
60797.04093511574	23.40	i
60799.01492011574	23.36	i
60790.180868125	23.10	i
60797.028706122685	23.48	i
