mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.1390024537	10.33523345146922	3.252422654422109	2.3792551995625453	24.277	0.197	g
60793.14144395833	10.335918825074708	3.2524194761680296	2.3792709827328733	24.391	0.199	g
60793.14243385417	10.336196731496567	3.252418187556455	2.3792773808572463	24.142	0.158	g
60793.1830649537	10.347617341359966	3.2523652931658393	2.379539531724324	23.759	0.192	r
60793.18551106482	10.34830581600038	3.2523621086287973	2.379555289807677	23.864	0.188	r
60793.20284346065	10.353187383320723	3.252339543513245	2.379666891186211	24.364	0.218	g
60795.02516716435	10.862703927641768	3.24996259820628	2.3921147627146166	23.621	0.179	r
60795.03062936343	10.864187269586616	3.2499554603532257	2.3921529766768908	23.837	0.199	r
60795.056069363425	10.871096523753316	3.2499222150125093	2.3923305651952216	24.124	0.185	r
60795.067234953705	10.87412975567125	3.2499076231247566	2.3924083100562794	23.964	0.18	r
60795.06876835648	10.874546372992953	3.249905619153145	2.3924189778039984	23.87	0.169	r
60795.06974466435	10.874811638331627	3.249904343233789	2.3924257687523607	24.024	0.199	r
60795.07221305556	10.875482334379724	3.2499011173256163	2.392442934320349	23.92	0.18	r
60795.09771436342	10.882414201352189	3.2498677890572485	2.3926199555538785	24.025	0.184	r
60795.10270055556	10.883770279458844	3.249861272282529	2.3926545030745237	23.638	0.133	r
60797.034055358796	11.407290839458312	3.247332120727644	2.4066457741764835	23.82	0.183	i
60797.042377164355	11.409478002709445	3.247321201861793	2.4067073638178664	23.765	0.192	i
60797.04629665509	11.410508205395965	3.2473160591168497	2.4067363481869655	23.726	0.189	i
60797.05619736111	11.413110790479788	3.247303068269402	2.4068094964960447	24.096	0.203	r
60797.05959505787	11.414004048140104	3.247298610047141	2.406834577597282	24.126	0.194	r
60797.0634640625	11.415021293132893	3.2472935333703132	2.406863124484261	24.146	0.177	r
60797.06442966435	11.415275185061429	3.247292266358561	2.4068702468473044	23.946	0.168	r
60797.06586576389	11.415652798820267	3.247290381980964	2.406880838027682	23.989	0.164	r
60797.06685865741	11.415913882186222	3.2472890791524818	2.4068881594610816	23.773	0.128	r
60797.07080085648	11.416950557869393	3.247283906358476	2.40691721960168	23.986	0.182	r
60797.07176186342	11.417203289498703	3.2472826453582955	2.4069243015551867	23.989	0.178	r
60797.07321025463	11.417584209647389	3.247280744823709	2.4069349736095935	24.017	0.205	r
60797.07416415509	11.41783508958997	3.2472794931423423	2.4069420011090203	24.124	0.204	r
60797.07808165509	11.418865484535612	3.247274352681769	2.4069708532344594	23.957	0.188	r
60797.07907425926	11.419126582636197	3.2472730502014415	2.406978161521666	24.047	0.198	r
60797.08052525463	11.419508272576373	3.247271146222074	2.406988843257574	23.984	0.149	r
60797.09009395833	11.422025829515634	3.247258590142021	2.407059238945152	24.186	0.164	g
60797.099738854165	11.424564347451957	3.2472459338382795	2.40713011711334	24.659	0.208	g
60797.10707456018	11.426495776022813	3.247236307554342	2.4071839754482514	24.246	0.173	g
60799.085495162035	11.944563731021985	3.244634967357921	2.4223410161658125	23.627	0.178	r
60799.092836655094	11.946428886559483	3.2446252952481203	2.4223979163173404	23.806	0.194	r
60799.09779126157	11.947687963893268	3.2446187676823777	2.42243629201585	23.91	0.213	r
60799.11111615741	11.951075553047248	3.2446012121580776	2.4225394046262045	23.898	0.196	r
60799.13474085648	11.95708748952701	3.2445700855222155	2.4227219117559575	23.992	0.216	r
60799.13571986111	11.957336800377153	3.2445687956070333	2.4227294671353863	23.948	0.194	r
60799.13719736111	11.957713085215982	3.2445668488795003	2.422740868545613	23.862	0.188	r
60799.138160462964	11.957958383108934	3.244565579911331	2.422748299817362	24.095	0.206	r
