mjd	mag	rmsmag	band
60787.11079675926	23.126	0.135	i
60787.111820162034	23.297	0.161	i
60787.11345665509	23.079	0.118	i
60787.11446835648	23.365	0.153	i
60787.115997361114	23.592	0.206	i
60787.118650358796	23.059	0.13	i
60787.12378716435	23.09	0.142	i
60787.12533436342	23.33	0.143	i
60787.12636576389	23.166	0.154	i
60787.12788755787	23.359	0.164	i
60787.12890445602	23.557	0.192	i
60787.13043505787	23.249	0.139	i
60787.13298486111	23.306	0.148	i
60790.11679915509	23.239	0.116	r
60790.11832945602	23.518	0.162	r
60790.11935736111	23.298	0.181	r
60790.120883564814	23.375	0.195	r
60790.12192716435	23.121	0.167	r
60790.13563986111	24.017	0.132	g
60790.13718815972	24.181	0.157	g
60790.138225462964	24.041	0.168	g
60790.14074466435	23.921	0.164	g
60790.14901275463	24.078	0.152	g
60790.17689106482	24.0	0.167	g
60790.17793346065	23.972	0.15	g
60790.180328159724	23.553	0.225	i
60790.184789363426	23.268	0.171	i
60790.18743475695	23.202	0.185	i
60790.1885165625	23.174	0.155	i
60790.19006706018	23.277	0.167	i
60797.031588564816	23.613	0.199	i
60797.0448578588	23.405	0.152	i
60797.06442966435	23.75	0.162	r
60797.06586576389	23.831	0.163	r
60797.07907425926	23.57	0.144	r
60797.11432986111	24.232	0.198	g
60797.12755085648	24.107	0.171	g
