mjd	mag	rmsmag	band
60787.11345665509	22.274	0.062	i
60787.11446835648	22.206	0.058	i
60787.115997361114	22.247	0.064	i
60787.11701686343	22.376	0.077	i
60787.118650358796	22.149	0.059	i
60787.12533436342	22.235	0.059	i
60787.12636576389	22.211	0.073	i
60787.12788755787	22.138	0.055	i
60787.12890445602	22.174	0.056	i
60787.13043505787	22.207	0.057	i
60787.13145516204	22.152	0.052	i
60787.13298486111	22.165	0.057	i
60790.11832945602	22.56	0.064	r
60790.11935736111	22.452	0.066	r
60790.12192716435	22.397	0.074	r
60790.12346195602	22.502	0.075	r
60790.124511354166	22.485	0.071	r
60790.13322856482	22.553	0.069	r
60790.13563986111	23.128	0.066	g
60790.13718815972	23.065	0.06	g
60790.138225462964	23.178	0.076	g
60790.14074466435	23.038	0.073	g
60790.14326486111	23.055	0.07	g
60790.14901275463	23.135	0.07	g
60790.17689106482	23.198	0.087	g
60790.17793346065	23.042	0.079	g
60790.180328159724	22.183	0.057	i
60790.18188925926	22.19	0.064	i
60790.18323115741	22.302	0.079	i
60790.184789363426	22.226	0.062	i
60790.18588255787	22.209	0.067	i
60790.18743475695	22.394	0.087	i
60790.1885165625	22.197	0.059	i
60790.19006706018	22.269	0.065	i
60793.14243385417	23.19	0.08	g
60793.14390425926	23.299	0.083	g
60793.1830649537	22.55	0.067	r
60793.19250736111	22.736	0.07	r
60793.19399436343	22.592	0.071	r
60793.19631126158	23.172	0.077	g
60793.19783606481	23.164	0.077	g
60793.20133846065	23.281	0.088	g
60793.20284346065	23.127	0.079	g
60793.20382966435	23.193	0.09	g
60793.20536186342	23.157	0.09	g
60795.0355124537	22.555	0.085	r
60795.09771436342	22.616	0.06	r
60795.153967060185	23.361	0.09	g
60795.155432060186	23.177	0.078	g
60795.15644216435	23.119	0.07	g
60795.15793016204	23.121	0.069	g
60797.031588564816	22.479	0.068	i
60797.0448578588	22.536	0.065	i
60797.04629665509	22.352	0.06	i
60797.06442966435	23.069	0.085	r
60797.06586576389	22.981	0.074	r
60797.07907425926	22.624	0.06	r
60797.09830315972	23.224	0.084	g
60797.099738854165	23.174	0.072	g
60797.11289425926	23.643	0.111	g
60797.11432986111	23.533	0.104	g
60797.12755085648	23.311	0.087	g
60797.12900046296	23.347	0.094	g
60798.03162195602	22.68	0.147	i
60798.03309925926	22.726	0.165	i
60798.051993657406	22.546	0.091	r
60798.06524016204	22.618	0.089	r
60798.08139925926	22.617	0.089	r
60798.09459395833	22.611	0.093	r
60798.113781354165	23.414	0.136	g
60798.115237453705	22.985	0.1	g
60798.12850046296	23.18	0.104	g
60798.12996216435	22.926	0.082	g
60799.03488716435	22.532	0.086	i
60799.0363765625	22.517	0.095	i
60799.09383925926	22.785	0.093	r
60799.09533966435	22.754	0.095	r
60799.10871606482	22.552	0.073	r
60799.110164363425	22.804	0.091	r
60799.12339356481	22.671	0.072	r
60799.12485115741	22.768	0.089	r
60799.151614664355	23.308	0.093	g
60799.15313716435	23.374	0.102	g
