mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11028865741	8.18646779791445	3.478515446970645	2.5684726650808782	23.267	0.145	i
60787.111820162034	8.186886160471115	3.478514770257245	2.5684820472660475	23.212	0.158	i
60787.11233025463	8.187025507731287	3.4785145448647286	2.5684851717200017	23.157	0.138	i
60787.1129465625	8.187193873999153	3.4785142725381415	2.5684889464784133	23.403	0.161	i
60787.11345665509	8.187333226524094	3.4785140471434746	2.568492070451776	23.372	0.171	i
60787.11650885417	8.188167109124858	3.4785126984483483	2.5685107585899156	23.306	0.168	i
60787.11752716435	8.18844533856193	3.4785122484730766	2.5685169918371487	23.307	0.165	i
60787.118035162035	8.188584140674884	3.4785120239956333	2.5685201010558205	23.378	0.184	i
60787.11915486111	8.18889008943759	3.4785115292116044	2.568526953478543	23.151	0.147	i
60787.124827962965	8.190440411982555	3.4785090222521684	2.5685616566381912	23.667	0.214	i
60787.12533436342	8.190578815236305	3.4785087984664798	2.568564753116187	23.157	0.137	i
60787.126874953705	8.190999887262947	3.478508117651719	2.568574172094184	23.029	0.14	i
60787.12738085648	8.19113816546479	3.478507894082137	2.5685772647168497	23.56	0.185	i
60787.12788755787	8.19127666470905	3.4785076701586726	2.5685803620217955	23.423	0.204	i
60787.128398657405	8.191416368939349	3.4785074442905777	2.5685834860094965	23.416	0.171	i
60787.12941436343	8.191694010984722	3.478506995420991	2.5685896936971133	23.436	0.186	i
60787.12992315972	8.191833094139202	3.478506770567818	2.5685928030081198	23.497	0.179	i
60787.13043505787	8.191973028063124	3.4785065443428986	2.568595931073903	23.487	0.199	i
60787.13196466435	8.19239118292774	3.478505868352813	2.568605276876506	23.457	0.19	i
60787.13354326389	8.192822758803281	3.478505170701648	2.5686149201638586	22.965	0.119	i
60790.11781895833	9.00393440296107	3.4771696301867303	2.588282639967095	23.621	0.167	r
60790.11935736111	9.004341525737845	3.477168933127274	2.5882931722925386	23.493	0.211	r
60790.1198728588	9.004477952532598	3.4771686995502087	2.5882967011153886	23.717	0.193	r
60790.1203753588	9.004610942212242	3.4771684718614995	2.5883001407643014	23.848	0.218	r
60790.12192716435	9.005021653715932	3.4771677687143576	2.5883107617423136	23.377	0.195	r
60790.122444155095	9.005158489737356	3.4771675344558743	2.588314299753087	23.312	0.164	r
60790.12295456018	9.005293585459043	3.477167303180588	2.588317792492003	23.266	0.118	r
60790.132206064816	9.007742809113092	3.4771631109582004	2.5883810671881475	23.433	0.138	r
60790.132723159724	9.007879732758933	3.477162876632597	2.588384601940418	23.518	0.147	r
60790.13617025463	9.008792584318108	3.4771613145292273	2.5884081606541764	23.993	0.132	g
60790.13667755787	9.00892693935091	3.4771610846331944	2.588411627040709	23.966	0.128	g
60790.1377149537	9.009201694567945	3.4771606145110012	2.588418714964683	24.429	0.21	g
60790.138225462964	9.009336908264164	3.4771603831593247	2.5884222027024264	23.995	0.162	g
60790.13875005787	9.0094758560861	3.477160145423261	2.5884257864839273	23.948	0.163	g
60790.14024085648	9.009870738016005	3.4771594698170554	2.5884359698705373	24.258	0.183	g
60790.14074466435	9.01000419263069	3.4771592414975303	2.588439410948913	24.325	0.214	g
60790.14126815972	9.010142865744777	3.4771590042547778	2.588442986313597	24.102	0.18	g
60790.14800275463	9.011927162953786	3.4771559521146607	2.5884889658455217	23.969	0.144	g
60790.148509259256	9.012061382880526	3.4771557225581473	2.5884924227379185	24.166	0.144	g
60790.14901275463	9.012194808678593	3.4771554943646716	2.5884958589269877	23.851	0.141	g
60790.17741975695	9.019728440209132	3.4771426182473792	2.58868948676508	23.876	0.13	g
60790.17847115741	9.020007506010996	3.477142141618512	2.588696645160713	23.904	0.182	g
60790.180868055555	9.020643762712256	3.477141055022711	2.588712962390402	23.404	0.175	i
60790.184280960646	9.021549875416786	3.477139507799322	2.5887361918001455	23.338	0.176	i
60790.18532755787	9.02182778004862	3.4771390333211047	2.588743314291691	23.219	0.164	i
60790.18642106481	9.02211815955028	3.4771385375718094	2.588750755530461	23.097	0.134	i
60790.18797385417	9.022530534275923	3.477137833595693	2.588761321309315	23.335	0.169	i
60790.18904986111	9.022816312678216	3.4771373457695547	2.5887686423034344	23.234	0.162	i
60790.19061106481	9.023230989014401	3.4771366379632647	2.588779263696043	23.6	0.215	i
60793.13511145833	9.795107660541081	3.4757854879349157	2.6103339640341243	23.89	0.139	g
60793.1355990625	9.795231787970566	3.4757852615070877	2.6103376338288444	24.268	0.182	g
60793.1360865625	9.795355891929425	3.4757850351266746	2.610341302680766	24.194	0.176	g
60793.13656775463	9.795478392975793	3.475784811674697	2.6103449239024448	23.778	0.13	g
60793.13851606481	9.795974420711948	3.475783906925732	2.610359584380418	23.843	0.128	g
60793.1390024537	9.79609825993083	3.4757836810561047	2.6103632439267335	24.063	0.159	g
60793.14047425926	9.796473014441334	3.4757829975723293	2.610374316722696	23.961	0.165	g
60793.14095516204	9.796595469141698	3.475782774246765	2.610377934381144	24.263	0.185	g
60793.14144395833	9.796719936899171	3.4757825472547053	2.610381611266301	24.31	0.202	g
60793.142930462964	9.79709848184859	3.4757818569315484	2.6103927922989745	24.324	0.205	g
60793.143418761574	9.797222835628979	3.475781630167061	2.610396464824821	24.263	0.171	g
60793.144401157406	9.797473029637736	3.475781173942405	2.6104038530353457	24.114	0.189	g
60793.1830649537	9.807330897410955	3.4757632156150526	2.610694205687884	23.737	0.188	r
60793.18452115741	9.807702627609068	3.475762539137496	2.610705127679489	23.461	0.132	r
60793.1865253588	9.80821430391141	3.475761608075134	2.6107201585306257	23.779	0.183	r
60793.18701505787	9.808339335033658	3.475761380580522	2.610723830889414	23.403	0.136	r
60793.19150346065	9.80948550914503	3.475759295406966	2.6107574864611554	23.503	0.158	r
60793.19300085648	9.80986796402513	3.4757585997462805	2.610768712940202	23.808	0.182	r
60793.19351395834	9.809999025759922	3.4757583613672756	2.610772559672125	23.576	0.148	r
60793.19449115741	9.810248644172034	3.475757907373403	2.6107798855177244	23.614	0.174	r
60793.196798460645	9.810838092029385	3.4757568354164214	2.610797181704577	24.209	0.198	g
60793.19832956018	9.811229292567766	3.475756124067353	2.610808658388122	24.053	0.176	g
60793.199321458334	9.811482746855754	3.4757556632266406	2.6108160930192303	24.091	0.178	g
60793.19981975694	9.811610080814088	3.4757554317130963	2.6108198278462944	24.173	0.171	g
60793.20083395833	9.811869260063744	3.475754960504694	2.610827429230274	24.063	0.187	g
60793.201834155094	9.812124877913362	3.4757544957988595	2.610834925390664	24.209	0.209	g
60793.2023190625	9.812248810574747	3.4757542705027875	2.610838559522584	24.268	0.192	g
60793.20382966435	9.81263491654868	3.475753568645799	2.6108498803384514	23.995	0.205	g
60793.20484445602	9.812894316882552	3.4757530971476642	2.6108574851220654	24.086	0.171	g
60795.031108958334	10.275681447863581	3.4748983459061633	2.625266083257212	23.683	0.18	r
60795.03160115741	10.27580264177334	3.4748981138648696	2.625270048370023	23.694	0.171	r
60795.03208975695	10.27592294946617	3.4748978835198714	2.625273984241742	23.781	0.174	r
60795.033550960645	10.276282742754269	3.4748971946454628	2.6252857534254197	23.68	0.191	r
60795.0340403588	10.276403248221795	3.474896963920192	2.6252896947809314	23.738	0.19	r
60795.03599975695	10.276885717516816	3.4748960401594724	2.625305472343786	23.81	0.195	r
60795.03649755787	10.27700829370222	3.474895805468152	2.6253094801551002	23.875	0.195	r
60795.056069363425	10.281828035082892	3.4748865774932867	2.6254668598679918	23.596	0.125	r
60795.067234953705	10.284578316009316	3.474881312352788	2.625556478290601	23.598	0.143	r
60795.068243761576	10.284826834666013	3.4748808366260695	2.6255645695026177	23.822	0.183	r
60795.06876835648	10.28495607032907	3.4748805892396417	2.625568776678063	24.014	0.196	r
60795.06974466435	10.28519659116691	3.474880128833487	2.6255766058450045	23.599	0.15	r
60795.070718055555	10.28543639910856	3.474879669799125	2.6255844107454855	23.826	0.162	r
60795.07123925926	10.285564806878122	3.4748794240072036	2.625588589528391	23.879	0.181	r
60795.07221305556	10.285804723426732	3.474878964776368	2.6255963963338536	23.82	0.183	r
60795.07269936342	10.285924538421604	3.474878735438079	2.6256002946763894	23.979	0.2	r
60795.07321585648	10.286051792061782	3.474878491863593	2.6256044347548486	23.958	0.209	r
60795.07370555556	10.28617244560108	3.4748782609243327	2.6256083598287545	23.6	0.151	r
60795.09254275463	10.290814911419107	3.474869376725083	2.62575918233568	23.761	0.146	r
60795.14657815972	10.304151462996932	3.4748438846378624	2.6261902524126577	23.858	0.128	g
60795.147565555555	10.304395499457659	3.474843418716344	2.6261981108848436	24.238	0.163	g
60795.14954466435	10.304884680488998	3.4748424848256074	2.626213860482369	24.067	0.139	g
60795.15003055555	10.305004787869246	3.474842255543742	2.62621772682534	24.438	0.171	g
60795.15052096065	10.305126014484692	3.4748420241309024	2.626221628951931	24.278	0.156	g
60795.15101126157	10.305247218720787	3.474841792766441	2.6262255301121527	24.301	0.193	g
60795.15200436342	10.305492727851535	3.474841324136141	2.6262334314804527	24.064	0.157	g
60795.152488657404	10.305612457421326	3.4748410956036224	2.6262372844449464	24.329	0.179	g
60795.1544653588	10.306101182788234	3.4748401628125056	2.6262530094329803	24.071	0.149	g
60797.02380675926	10.765198616678678	3.4739515180305784	2.641797073663058	23.668	0.211	i
60797.02622675926	10.76577491632761	3.4739503591795304	2.641817600752016	23.511	0.193	i
60797.03111365741	10.766938699692616	3.4739480189533536	2.6418590347417163	23.62	0.17	i
60797.03354505787	10.767517733800231	3.4739468545771306	2.6418796406489253	23.818	0.184	i
60797.03608695602	10.768123094070983	3.4739456372607718	2.6419011767021017	23.618	0.214	i
60797.03851436343	10.768701200732632	3.4739444747516326	2.6419217367351986	23.466	0.178	i
