mjd	phase angle	mag	rmsmag	band
60795.03306525463	18.121293672400235	23.897	0.202	r
60795.0340403588	18.12185057999782	23.993	0.213	r
60795.067234953705	18.13977070616586	23.7	0.161	r
60795.06876835648	18.14061731060478	24.095	0.207	r
60795.06974466435	18.141107442404397	23.747	0.164	r
60795.07221305556	18.14245494487866	23.856	0.187	r
60795.09254275463	18.15346508097602	24.185	0.198	r
60797.034055358796	19.193787932903536	23.82	0.174	i
60797.058633657405	19.206981709497143	23.972	0.195	r
60797.06298335648	19.20931801584862	24.258	0.193	r
60797.0634640625	19.209535822489315	24.196	0.189	r
60797.06685865741	19.211383374038988	24.099	0.169	r
60797.06782055555	19.211907971350154	24.146	0.197	r
60797.07321025463	19.214795754187534	24.002	0.197	r
60797.075621157404	19.21608830509504	24.12	0.19	r
60797.08052525463	19.21869066144672	24.044	0.19	r
60797.08296266204	19.220025610243976	23.857	0.167	r
60797.09683826389	19.227457343696763	24.292	0.179	g
60797.10071115741	19.22949985219962	24.586	0.215	g
60797.10465436343	19.231651169890586	24.405	0.2	g
60797.10659076389	19.23269111983837	24.184	0.184	g
60797.11045716435	19.234768260238276	24.326	0.19	g
60799.091341354164	20.28795690186314	23.823	0.18	r
60799.11512106482	20.300597732681787	23.957	0.215	r
60799.11948596065	20.302880884124146	23.885	0.215	r
60799.13571986111	20.311527053805285	23.965	0.198	r
60799.1501324537	20.31921737252973	24.382	0.209	g
