mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60790.11781895833	10.402253042445473	2.9150112547817773	2.0098383710792223	22.969	0.134	r
60790.1203753588	10.403058550186495	2.915012847186278	2.0098565770926586	22.917	0.086	r
60790.12295456018	10.40387133080783	2.9150144537723124	2.0098749401813962	22.917	0.089	r
60790.12398135417	10.40419492859666	2.9150150933572996	2.0098822491633115	22.776	0.086	r
60790.132206064816	10.40678751442603	2.9150202163670107	2.009940765264183	22.851	0.08	r
60790.132723159724	10.406950545682605	2.9150205384480854	2.0099444425069213	22.838	0.082	r
60790.13375065972	10.407274510988042	2.915021178440933	2.00995174882869	23.017	0.099	r
60790.13667755787	10.408197434407084	2.9150230014818677	2.0099725570703084	23.462	0.113	g
60790.13875005787	10.408851025048634	2.9150242923376553	2.0099872873516507	23.653	0.116	g
60790.14024085648	10.409321210364935	2.9150252208728182	2.0099978812916164	23.455	0.091	g
60790.14126815972	10.409645233752498	2.9150258607184587	2.0100051806138084	23.752	0.119	g
60790.14800275463	10.411769829777516	2.9150300552108623	2.010053013944731	23.583	0.118	g
60790.180868055555	10.422149625918035	2.9150505225661467	2.010286040235879	22.814	0.125	i
60790.18137706019	10.42231054746335	2.915050839529348	2.0102896446402245	22.694	0.089	i
60790.1826790625	10.422722198877496	2.915051650298027	2.0102988639283437	22.972	0.126	i
60790.18377085648	10.42306741569054	2.9150523301636286	2.01030659414938	22.573	0.102	i
60790.184280960646	10.423228715203809	2.915052647807045	2.0103102056514723	22.743	0.128	i
60790.18532755787	10.42355967514086	2.915053299523228	2.010317615111252	23.05	0.175	i
60790.18642106481	10.42390549328046	2.91505398044643	2.010325356147231	22.556	0.108	i
60793.1355990625	11.34569896839982	2.9168765884174017	2.032682910035615	23.577	0.115	g
60793.1360865625	11.345846834288327	2.916876887404937	2.032686702275547	23.784	0.124	g
60793.137054363426	11.346140393535123	2.9168774809619147	2.0326942302585196	23.478	0.108	g
60793.137539560186	11.346287572099605	2.9168777785343676	2.032698004090888	23.53	0.12	g
60793.13803065972	11.346436545226231	2.9168780797264984	2.032701823673405	23.57	0.113	g
60793.13851606481	11.346583794656802	2.9168783774250966	2.0327055988001033	23.628	0.102	g
60793.1390024537	11.3467313464438	2.916878675726395	2.0327093814182216	23.562	0.115	g
60793.14047425926	11.347177859886711	2.916879578377436	2.0327208265934944	23.48	0.104	g
60793.14095516204	11.347323762993101	2.916879873311208	2.03272456591322	23.505	0.094	g
60793.14193525463	11.34762112918244	2.916880474391438	2.032732186264037	23.514	0.104	g
