mjd	mag_val	mag_band
60798.134933125	23.64	g
60793.19783612269	23.91	g
60797.11289412037	23.60	g
60797.09731612269	23.84	g
60797.11674211806	23.80	g
60793.198820115744	23.68	g
60790.13822511574	23.69	g
60797.108044120374	23.81	g
60797.120221122685	23.94	g
60798.11620912037	23.79	g
60793.20231912037	23.78	g
60797.09345511574	23.75	g
60797.111905115744	23.69	g
60797.105626122684	23.79	g
60795.15793011574	23.75	g
60790.177933125	23.89	g
60790.149013125	23.85	g
60797.13250612268	23.85	g
60797.10322011574	23.68	g
60793.20383011574	23.73	g
60798.13240711806	23.76	g
60795.15297711806	23.61	g
60797.12851711806	23.89	g
60797.08865511574	23.82	g
60795.15396711806	24.12	g
60790.13564011574	23.66	g
60797.109487118054	23.64	g
60798.12850011574	24.08	g
60793.19631112269	24.02	g
60793.200338125	23.61	g
60790.14850912037	23.89	g
60793.19731711806	23.54	g
60790.137188125	23.57	g
60799.15409711806	23.88	g
60793.14390412037	23.88	g
60798.12114412037	23.69	g
60799.156622118055	23.78	g
60798.10552511574	23.68	g
60793.14341912037	23.74	g
60797.110457118055	23.88	g
60790.17689112268	23.93	g
60797.119243125	23.92	g
60795.15543211805	24.05	g
60798.13093511574	23.80	g
60795.15644211805	23.75	g
60793.139983125	23.61	g
60798.133472118054	23.75	g
60793.20484412037	23.44	g
60795.15052112268	23.97	g
60797.126553125	23.91	g
60798.12016412037	23.61	g
60793.13511112268	24.06	g
60797.121673125	23.90	g
60797.09105412037	23.71	g
60799.14917511574	23.96	g
60795.146578125	23.77	g
60799.14676711806	23.98	g
60797.131449120374	23.90	g
60797.12997412037	24.02	g
60795.15742011574	23.85	g
60798.12996211806	23.82	g
60797.12509112268	23.61	g
60793.202843125	23.80	g
60793.201338125	23.95	g
60797.092498125	23.96	g
60799.15557412037	23.76	g
60798.126043125	23.87	g
60798.10407511574	23.83	g
60797.124098125	24.02	g
60799.15262412037	23.72	g
60797.117795115744	23.70	g
60795.15494912037	24.11	g
60793.14144412037	23.69	g
60790.136678125	23.60	g
60797.10707511574	23.64	g
60797.09490211806	23.92	g
60799.15161511574	23.97	g
60797.11529112268	23.67	g
60797.102168125	23.92	g
60798.122597118054	23.62	g
60797.09973912037	23.93	g
60798.125047118054	23.90	g
60799.14432112269	23.87	g
60797.127551122685	23.83	g
60799.14821612269	23.76	g
60797.09009412037	23.98	g
60793.14243412037	23.91	g
60793.13754011574	23.68	g
60790.14074511574	23.78	g
60797.09587011574	23.89	g
60797.099263125	23.95	g
60797.100711122686	23.80	g
60797.12264511574	23.87	g
60797.10465412037	23.66	g
60799.15313711805	23.87	g
60795.14905211805	23.78	g
60798.11523711806	23.80	g
60797.098303125	23.60	g
60797.02671612269	23.27	i
60798.02132112269	23.06	i
60797.03158912037	23.41	i
60787.13298511574	23.10	i
60799.03884612268	23.18	i
60799.03388511574	23.38	i
60787.12533412037	22.93	i
60787.127381122686	23.12	i
60787.127888125	23.30	i
60790.18478912037	23.11	i
60787.11865011574	23.11	i
60787.11599711805	22.95	i
60790.186923125	23.10	i
60798.03657912037	22.84	i
60797.027720115744	23.43	i
60797.04629711805	23.36	i
60797.043868125	23.25	i
60787.11701711806	23.06	i
60799.03637711806	23.47	i
60797.044858125	23.43	i
60790.18323112268	23.14	i
60797.04237711806	23.53	i
60797.041410115744	23.41	i
60787.13145511574	23.15	i
60790.18956112269	23.22	i
60787.115488125	23.17	i
60797.03899412037	23.45	i
60797.03754511574	23.34	i
60787.12378711806	22.99	i
60787.129923125	23.04	i
60798.01299511574	22.88	i
60797.04725412037	23.53	i
60787.126366122684	23.24	i
