mjd	phase angle	mag	rmsmag	band
60797.02332706018	18.8220660403849	23.49	0.173	i
60797.024786458336	18.822855598974535	23.208	0.162	i
60797.025751354166	18.823317139617128	23.221	0.168	i
60797.0271990625	18.82407536955597	23.424	0.168	i
60797.028225358794	18.824584130205494	23.171	0.158	i
60797.02966876158	18.825363791565085	23.188	0.136	i
60797.033068854165	18.827104255666427	23.403	0.14	i
60797.034531655096	18.827842142317746	23.55	0.159	i
60797.03705585648	18.82916731522567	23.378	0.16	i
60797.038033460645	18.829645026526343	23.549	0.171	i
60797.039471261574	18.83040425334927	23.386	0.157	i
60797.040427858796	18.83087643804484	23.518	0.196	i
60797.04189255787	18.831664092127667	23.514	0.162	i
60797.042879953704	18.83218367776743	23.62	0.184	i
60797.04437076389	18.832933307224692	23.382	0.178	i
60797.04773835648	18.83468349736372	23.461	0.156	i
60797.0552353588	18.838545995224138	23.294	0.12	r
60797.05667326389	18.83929275405915	23.433	0.125	r
60797.05763766204	18.83979874641138	23.442	0.125	r
60797.05911865741	18.840552075304966	23.456	0.119	r
60797.06007535879	18.84105086528032	23.493	0.124	r
60797.06153175926	18.841799948063553	23.656	0.14	r
60797.0625040625	18.842303022538783	23.558	0.128	r
60797.0639478588	18.84306246513263	23.338	0.106	r
60797.06734466435	18.84480300403132	23.308	0.096	r
60797.068792858794	18.84555650298654	23.432	0.153	r
60797.06984195602	18.84611508662664	23.4	0.124	r
60797.0722424537	18.847331990207415	23.272	0.098	r
60797.07610505787	18.849334965787	23.535	0.125	r
60797.078565358795	18.850595198661292	23.544	0.127	r
60797.08200335648	18.852399872572903	23.405	0.119	r
60797.08344966435	18.853147299795232	23.424	0.114	r
60797.09057775463	18.856832172574478	23.926	0.145	g
60797.09153856481	18.857338256370138	24.039	0.151	g
60797.09297585648	18.85805998957694	24.087	0.174	g
60797.09394315972	18.858529809800356	24.271	0.193	g
60797.09538766204	18.85930781978591	23.822	0.132	g
60797.097803460645	18.860589449766508	24.096	0.176	g
60797.10119525463	18.862333104396825	24.109	0.169	g
60797.10265266203	18.8630913580895	23.919	0.145	g
60797.10369606481	18.8636152585571	24.004	0.176	g
60797.10756266204	18.865594079656248	23.943	0.162	g
60797.10852475694	18.86612100673507	23.916	0.137	g
60797.10996495371	18.866830804897944	23.994	0.184	g
60797.11094186342	18.867323504962997	23.809	0.123	g
60797.1123940625	18.868105569946998	23.899	0.139	g
60797.1172224537	18.87061769137113	23.958	0.174	g
60797.118279560185	18.871143505224392	23.863	0.147	g
60797.11973456018	18.871867441209464	23.984	0.17	g
60797.120706354166	18.872361546525706	23.989	0.148	g
