mjd	mag	rmsmag	band
60793.14193525463	23.798	0.132	g
60793.142930462964	23.968	0.147	g
60793.144401157406	23.802	0.142	g
60793.18356665509	22.965	0.104	r
60793.1860074537	23.347	0.122	r
60793.19100565972	23.332	0.129	r
60793.19200236111	23.374	0.135	r
60793.19300085648	23.157	0.11	r
60793.199321458334	24.044	0.168	g
60793.20083395833	23.831	0.14	g
60795.031108958334	23.235	0.112	r
60795.03257805556	23.297	0.101	r
60795.033550960645	23.455	0.134	r
60795.03502016204	23.205	0.104	r
60795.03599975695	23.246	0.103	r
60795.06772796296	23.467	0.124	r
60795.06925565972	23.518	0.133	r
60795.07023085648	23.497	0.139	r
60795.07172695602	23.317	0.104	r
60795.07269936342	23.251	0.101	r
60797.022357361115	22.944	0.119	i
60797.02332706018	23.18	0.129	i
60797.024786458336	23.411	0.189	i
60797.025751354166	23.279	0.172	i
60797.0271990625	23.193	0.136	i
60797.02966876158	23.364	0.157	i
60797.033068854165	23.356	0.132	i
60797.034531655096	23.267	0.121	i
60797.03560236111	23.248	0.164	i
60797.03705585648	23.249	0.141	i
60797.039471261574	23.208	0.135	i
60797.040427858796	23.094	0.131	i
60797.04093456019	23.343	0.167	i
60797.04189255787	23.369	0.137	i
60797.042879953704	23.392	0.149	i
60797.04437076389	23.013	0.12	i
60797.04773835648	23.229	0.126	i
60797.0552353588	23.204	0.102	r
60797.05667326389	23.352	0.111	r
60797.05763766204	23.266	0.102	r
60797.05911865741	23.185	0.09	r
60797.06007535879	23.283	0.097	r
60797.0625040625	23.31	0.094	r
60797.0639478588	23.519	0.12	r
60797.06635175926	23.172	0.094	r
60797.06734466435	23.228	0.084	r
60797.068792858794	23.349	0.133	r
60797.06984195602	23.326	0.11	r
60797.07128576389	23.499	0.12	r
60797.07368966435	23.323	0.111	r
60797.07465025463	23.518	0.123	r
60797.07610505787	23.353	0.1	r
60797.07709076389	23.539	0.117	r
60797.078565358795	23.19	0.089	r
60797.07955865741	23.487	0.13	r
60797.08101275463	23.405	0.111	r
60797.08200335648	23.421	0.112	r
60797.08450626158	23.182	0.098	r
60797.08913925926	23.809	0.119	g
60797.09057775463	23.783	0.119	g
60797.09297585648	23.836	0.13	g
60797.09538766204	24.073	0.161	g
60797.096359560186	23.861	0.125	g
60797.097803460645	24.028	0.156	g
60797.09878255787	23.867	0.142	g
60797.10022266204	24.026	0.138	g
60797.10119525463	24.015	0.148	g
60797.10265266203	23.891	0.141	g
60797.10369606481	23.743	0.129	g
60797.10514255787	23.656	0.114	g
60797.10756266204	23.825	0.136	g
60797.10852475694	23.812	0.119	g
60797.11094186342	23.941	0.126	g
60797.1123940625	23.843	0.123	g
60797.11337576389	24.069	0.167	g
60797.11577425926	23.981	0.148	g
60797.1172224537	24.223	0.213	g
60797.118279560185	23.98	0.15	g
60797.11973456018	24.04	0.161	g
60797.120706354166	24.054	0.146	g
60797.12215945602	24.239	0.177	g
60797.12313206019	24.015	0.149	g
60797.1245890625	24.059	0.14	g
60797.12558305555	24.083	0.195	g
60797.12704315972	24.042	0.138	g
60797.130467662035	23.811	0.146	g
60797.13193596065	23.834	0.123	g
60797.1329940625	23.827	0.154	g
60798.01691505787	23.107	0.205	i
60798.02035626157	23.078	0.189	i
60798.02238516204	22.942	0.183	i
60798.02480986111	23.075	0.214	i
60798.02625486111	22.966	0.2	i
60798.0296540625	22.959	0.195	i
60798.031131157404	22.878	0.192	i
60798.03213115741	22.698	0.174	i
60798.03599975695	22.8	0.148	i
60798.04094195602	23.102	0.124	r
60798.043686655095	23.405	0.183	r
60798.04517415509	23.223	0.159	r
60798.04613766204	23.173	0.125	r
60798.04664755787	23.151	0.139	r
60798.047616261574	23.121	0.142	r
60798.04859175926	23.287	0.162	r
60798.05003346065	23.458	0.192	r
60798.051033564814	23.321	0.208	r
60798.05345305555	23.314	0.189	r
60798.05491445602	23.524	0.199	r
60798.06084315972	23.42	0.177	r
60798.0623190625	23.501	0.181	r
60798.06329706019	23.489	0.196	r
60798.06816645833	23.293	0.173	r
60798.07213695602	23.372	0.168	r
60798.074559155095	23.356	0.171	r
60798.07553296296	23.487	0.193	r
60798.07601665509	23.321	0.186	r
60798.076976655095	23.185	0.155	r
60798.07797766204	23.155	0.151	r
60798.079423159725	23.148	0.146	r
60798.0804265625	23.334	0.181	r
60798.08286736111	23.379	0.188	r
60798.08432576389	23.316	0.153	r
60798.08538956018	23.289	0.161	r
60798.08779326389	23.555	0.18	r
60798.089243055554	23.224	0.154	r
60798.090219756945	23.497	0.165	r
60798.09166475695	23.351	0.182	r
60798.09263865741	23.225	0.149	r
60798.09408915509	23.563	0.194	r
60798.09749425926	23.205	0.149	r
60798.09893606482	23.354	0.16	r
60798.09998466435	23.191	0.147	r
60798.104559363426	23.855	0.164	g
60798.10842106481	23.875	0.169	g
60798.1132790625	23.885	0.178	g
60798.11426635417	23.809	0.198	g
60798.11669675926	23.706	0.159	g
60798.11918826389	23.814	0.205	g
60798.12065145833	23.944	0.171	g
60798.12308975695	23.758	0.153	g
60798.130462256944	23.32	0.12	g
60798.131434953706	23.881	0.173	g
60798.13396335648	23.727	0.17	g
60798.135430358794	23.978	0.186	g
60798.136418159724	23.563	0.148	g
60799.02704335648	23.1	0.142	i
60799.02801326389	23.393	0.187	i
60799.029469155095	23.243	0.159	i
60799.03047065972	23.124	0.169	i
60799.03095555556	22.826	0.128	i
60799.03193025463	23.472	0.206	i
60799.032896157405	23.216	0.174	i
60799.03440755787	23.107	0.178	i
60799.035401863424	23.343	0.202	i
60799.03686565972	23.292	0.181	i
60799.03936796296	23.164	0.143	i
60799.08446626157	23.358	0.133	r
