mjd	mag_val	mag_band
60797.125583125	23.66	g
60797.127043125	24.21	g
60797.11094211806	23.78	g
60798.11182912037	23.87	g
60797.09636011574	23.99	g
60797.11239412037	24.33	g
60797.02966912037	23.35	i
60797.041893125	23.45	i
60797.03306912037	23.38	i
60797.04288011574	23.49	i
60797.038033125	23.25	i
60797.03453211806	23.81	i
60799.039368125	23.53	i
60799.03095612268	23.23	i
60797.02478612268	23.24	i
60797.023327118055	23.30	i
60798.03600011574	23.03	i
60797.04437112268	23.39	i
60797.068793125	23.35	r
60797.07856511574	23.72	r
60798.06231912037	23.52	r
60799.12141112269	23.70	r
60799.10482511574	23.69	r
60798.050033125	23.48	r
60797.07709112269	23.84	r
60797.082003125	23.60	r
60798.060843125	23.45	r
60797.07465011574	23.65	r
60797.06153211805	23.95	r
60798.046138125	23.39	r
60797.063948125	23.76	r
60797.06734511574	23.88	r
60798.09408912037	23.61	r
60797.07610511574	23.71	r
60798.054914120374	23.43	r
60799.09183612269	23.77	r
60797.057638125	23.50	r
60799.108230115744	23.38	r
60798.06329711805	23.58	r
60797.06007511574	23.71	r
60798.075533125	23.57	r
60798.04859211806	23.54	r
60797.06250412037	23.87	r
