mjd	mag	rmsmag	band
60790.1203753588	23.537	0.152	r
60790.120883564814	23.356	0.166	r
60790.12295456018	23.716	0.169	r
60790.132723159724	23.51	0.136	r
60790.138225462964	23.987	0.17	g
60790.14024085648	24.185	0.172	g
60790.184280960646	23.146	0.172	i
60790.18956115741	23.231	0.184	i
60793.13511145833	23.785	0.136	g
60793.1360865625	24.14	0.174	g
60793.13656775463	24.257	0.204	g
60793.13851606481	24.273	0.184	g
60793.1390024537	24.409	0.213	g
60793.14095516204	23.978	0.145	g
60793.14144395833	24.133	0.17	g
60793.142930462964	24.267	0.21	g
60793.143418761574	24.069	0.144	g
60793.14390425926	24.152	0.176	g
60793.1830649537	23.554	0.166	r
60793.184043263886	23.615	0.194	r
60793.18452115741	23.733	0.18	r
60793.18551106482	23.697	0.164	r
60793.1865253588	23.713	0.174	r
60793.18701505787	23.725	0.174	r
60793.19150346065	23.507	0.156	r
60793.19351395834	23.736	0.167	r
60793.19399436343	23.705	0.19	r
60793.19981975694	24.179	0.165	g
60793.200338055554	24.246	0.199	g
60793.20484445602	24.101	0.185	g
60795.03062936343	23.833	0.196	r
60795.03160115741	23.954	0.194	r
60795.03208975695	23.743	0.146	r
60795.0340403588	23.879	0.197	r
60795.03453106481	23.5	0.131	r
60795.0355124537	23.344	0.124	r
60795.03649755787	23.8	0.168	r
60795.067234953705	23.733	0.153	r
60795.068243761576	23.825	0.173	r
60795.06876835648	23.939	0.17	r
60795.06974466435	23.644	0.138	r
60795.070718055555	23.849	0.157	r
60795.07123925926	23.76	0.147	r
60795.07221305556	23.892	0.178	r
60795.07370555556	24.089	0.214	r
60795.09254275463	23.837	0.145	r
60795.09771436342	23.68	0.142	r
60795.14657815972	24.282	0.198	g
60795.147565555555	23.984	0.139	g
60795.148054861114	24.015	0.126	g
60795.14905206019	24.318	0.165	g
60795.15052096065	24.292	0.157	g
60795.151510358795	24.005	0.124	g
60795.152488657404	23.929	0.127	g
60795.15297725694	24.31	0.198	g
60795.153967060185	24.157	0.155	g
60795.15494915509	24.422	0.2	g
60797.021838761575	23.18	0.148	i
60797.02380675926	23.542	0.184	i
60797.02526956019	23.554	0.187	i
60797.02622675926	23.408	0.173	i
60797.02671626157	23.585	0.162	i
60797.027719861115	22.964	0.125	i
60797.02870606481	23.668	0.206	i
60797.02918745371	23.452	0.167	i
60797.03111365741	23.625	0.174	i
60797.032566354166	23.591	0.161	i
60797.034055358796	23.587	0.141	i
60797.035119155094	23.545	0.193	i
60797.03608695602	23.438	0.179	i
60797.037545162035	23.389	0.147	i
60797.03851436343	23.364	0.164	i
60797.03899376158	23.514	0.172	i
60797.039948564816	23.333	0.141	i
60797.04140956019	23.731	0.206	i
60797.042377164355	23.708	0.186	i
60797.04335706018	23.402	0.141	i
60797.04582275463	23.454	0.153	i
60797.04725445602	23.71	0.191	i
60797.05030326389	23.608	0.169	i
60797.05078275463	23.754	0.191	i
60797.05475565972	23.835	0.174	r
60797.055713657406	23.75	0.172	r
60797.05619736111	23.692	0.136	r
60797.05715296296	23.969	0.178	r
60797.05811815972	23.917	0.194	r
60797.058633657405	23.829	0.172	r
60797.05959505787	23.947	0.166	r
60797.060553564814	23.846	0.143	r
60797.061048159725	23.763	0.129	r
60797.06298335648	23.794	0.128	r
60797.0634640625	23.973	0.154	r
60797.0653840625	23.682	0.131	r
60797.06586576389	23.865	0.163	r
60797.06685865741	23.801	0.132	r
60797.06782055555	23.801	0.132	r
60797.068297858794	23.655	0.117	r
60797.06936555556	23.579	0.153	r
60797.07080085648	23.528	0.113	r
60797.07176186342	23.835	0.146	r
60797.072723958336	23.447	0.117	r
60797.07321025463	23.741	0.154	r
60797.07416415509	23.8	0.153	r
