mjd	phase angle	mag	rmsmag	band
60787.10978266204	15.310986903594566	23.18	0.141	i
60787.11028865741	15.311217381130819	23.235	0.149	i
60787.111309155094	15.311769297828924	23.16	0.141	i
60787.11233025463	15.312244393084484	23.179	0.139	i
60787.1129465625	15.312557024112012	23.452	0.169	i
60787.11395915509	15.313108583615959	23.465	0.168	i
60787.11497945602	15.313576202209195	23.461	0.162	i
60787.11650885417	15.314341635664155	23.198	0.152	i
60787.11752716435	15.314811402841354	23.267	0.155	i
60787.11915486111	15.315684756132677	23.52	0.2	i
60787.12431576389	15.318265439012336	23.388	0.161	i
60787.125841863424	15.319026045622861	23.303	0.156	i
60787.126874953705	15.319588979304479	23.494	0.193	i
60787.12738085648	15.319798743039984	23.297	0.161	i
60787.128398657405	15.320301791780901	23.684	0.216	i
60787.12992315972	15.32109379596407	23.523	0.2	i
60787.13094915509	15.321657738288708	23.668	0.196	i
60787.13196466435	15.322134152711445	23.563	0.211	i
60787.132473564816	15.322349758949125	23.377	0.183	i
60790.11731216435	16.817903367208885	23.552	0.168	r
60790.11781895833	16.818154171887	23.849	0.188	r
60790.11832945602	16.818454446546788	23.578	0.179	r
60790.1203753588	16.819467626477895	23.216	0.163	r
60790.12295456018	16.820821307553263	23.394	0.154	r
60790.132723159724	16.82576916247884	23.625	0.174	r
60790.13617025463	16.827540671914246	24.081	0.147	g
60790.13667755787	16.82779290757922	24.263	0.169	g
60790.14024085648	16.829619511724655	23.965	0.152	g
60790.14800275463	16.83352442111927	23.978	0.167	g
60790.148509259256	16.83382388937611	24.177	0.148	g
60790.14901275463	16.83411321953205	24.009	0.18	g
60790.17741975695	16.8485954440199	24.209	0.172	g
60790.17847115741	16.849073731553602	23.94	0.188	g
60790.18137706019	16.850612639033475	23.407	0.205	i
60790.19061106481	16.855286735340087	23.061	0.152	i
60793.13511145833	18.34336822177402	24.238	0.19	g
60793.1360865625	18.343851311657716	24.016	0.171	g
60793.13656775463	18.344099106010702	24.15	0.179	g
60793.137539560186	18.344610893625525	24.26	0.206	g
60793.1390024537	18.34533543140158	24.202	0.186	g
60793.139983263885	18.34589829802823	24.334	0.208	g
60793.14144395833	18.34658612203292	24.005	0.146	g
60793.14243385417	18.34710305037296	24.05	0.151	g
60793.143418761574	18.34763091721648	24.14	0.178	g
60793.14390425926	18.347895516947013	24.257	0.174	g
60793.1830649537	18.367886564570444	23.755	0.174	r
60793.184043263886	18.368358617300377	23.595	0.182	r
60793.18452115741	18.368615336675013	23.559	0.14	r
60793.18551106482	18.369114370159416	23.792	0.176	r
60793.18701505787	18.36991523036669	23.348	0.128	r
60793.19250736111	18.372707933228455	23.587	0.152	r
60793.19351395834	18.373209221665768	23.493	0.14	r
60793.19631126158	18.374645304877	24.358	0.202	g
60793.19881956019	18.375874994174836	24.272	0.207	g
60793.20133846065	18.37714956020521	24.064	0.171	g
60793.20284346065	18.37795193186846	24.207	0.192	g
60793.20484445602	18.378975416795623	24.005	0.172	g
60793.20536186342	18.37922766170774	24.025	0.18	g
60795.056069363425	19.312042621588528	23.594	0.122	r
60795.067234953705	19.31772679301779	23.583	0.147	r
60795.06974466435	19.31901882332794	23.8	0.181	r
60795.07123925926	19.31976942658577	23.942	0.205	r
60795.07221305556	19.32025886532539	23.662	0.151	r
60795.09771436342	19.333234088622028	23.942	0.176	r
60795.148054861114	19.358873377251815	24.336	0.182	g
60795.14905206019	19.3593753319121	24.318	0.166	g
60795.15052096065	19.36010231851912	24.155	0.149	g
60795.151510358795	19.360634894304802	23.948	0.129	g
60795.153967060185	19.361894474778726	24.446	0.201	g
60795.155432060186	19.362639727382145	24.086	0.148	g
60797.021838761575	20.297606096500314	23.464	0.181	i
60797.030152453706	20.30182195809051	23.622	0.179	i
60797.031588564816	20.302570899329417	23.81	0.209	i
60797.042377164355	20.307996954931564	23.516	0.164	i
60797.0448578588	20.30925998466389	23.517	0.149	i
60797.05475565972	20.314292044823723	23.81	0.213	r
60797.06202135417	20.317926214344087	23.636	0.138	r
60797.0634640625	20.31864844140517	23.727	0.134	r
60797.06586576389	20.31987980699462	23.802	0.142	r
60797.07176186342	20.322875618601444	23.685	0.163	r
60797.076608958334	20.325305980268357	23.895	0.158	r
60797.07808165509	20.32605158328922	23.465	0.134	r
60797.07907425926	20.32657249864358	23.774	0.157	r
60797.08052525463	20.327279017061013	23.701	0.118	r
60797.08402585648	20.32905863567496	23.589	0.183	r
60797.09587005787	20.335005865256477	24.148	0.186	g
60797.09830315972	20.336270194733885	23.926	0.141	g
60797.099738854165	20.336972681936434	24.112	0.133	g
60797.10321956019	20.33876288384516	24.059	0.205	g
60797.11045716435	20.34238177128494	24.241	0.22	g
60797.11289425926	20.343607366016133	24.489	0.205	g
60797.11432986111	20.344353841907566	24.1	0.157	g
60797.12022145833	20.347274610609652	24.026	0.172	g
60797.12167315972	20.348084605642757	24.23	0.175	g
60797.12755085648	20.351022425171095	24.099	0.159	g
