mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60797.021351655094	16.20257916273996	2.2130953081698337	1.328846789001715	23.274	0.17	i
60797.02380675926	16.203484249902427	2.2131002502751707	1.328868384016164	23.148	0.134	i
60797.02526956019	16.20402351664467	2.2131031948804605	1.3288812477506937	22.979	0.121	i
60797.02622675926	16.204376391065097	2.2131051217137463	1.328889664055839	22.97	0.119	i
60797.02870606481	16.205290394441814	2.2131101125300168	1.3289114592152684	23.031	0.123	i
60797.03354505787	16.207074316839016	2.2131198533631924	1.3289539794579988	23.499	0.147	i
60797.034055358796	16.2072624442043	2.2131208805920775	1.3289584620491395	23.422	0.133	i
60797.03851436343	16.20890632524194	2.213129856502025	1.3289976193630053	23.007	0.122	i
60797.039948564816	16.209435078093115	2.2131327435256845	1.3290102096000462	23.262	0.15	i
60797.04093456019	16.20979859325083	2.213134728317499	1.3290188639959077	23.227	0.139	i
60797.04140956019	16.20997371666081	2.21313568448348	1.3290230328610346	23.149	0.133	i
60797.04335706018	16.21069173294146	2.2131396047661225	1.3290401227912612	23.537	0.165	i
60797.04725445602	16.212128701812645	2.213147450147248	1.3290743119711792	23.149	0.128	i
60797.05030326389	16.213252854267967	2.213153587331766	1.3291010462479742	23.177	0.119	i
60797.05078275463	16.213429656549014	2.2131545525353578	1.3291052499263851	23.23	0.132	i
60797.05959505787	16.21667930701711	2.213172291482145	1.329182465811097	23.633	0.141	r
60797.061048159725	16.21721521776735	2.2131752165365537	1.3291951908359945	23.55	0.119	r
60797.06298335648	16.217928957268633	2.2131791120320994	1.3292121343818841	23.438	0.101	r
60797.06782055555	16.21971317560257	2.2131888491674268	1.3292544701882456	23.435	0.101	r
60797.068297858794	16.219889243947698	2.213189809963816	1.3292586463696097	23.4	0.103	r
60797.0703203588	16.22063533489472	2.213193881191212	1.329276339849143	23.284	0.119	r
60797.072723958336	16.221522072795512	2.2131987195558858	1.3292973621657056	23.193	0.099	r
60797.07416415509	16.222053424666928	2.2132016186222607	1.3293099557305705	23.395	0.123	r
60797.07513615741	16.22241205356256	2.2132035752286807	1.3293184541251712	23.385	0.104	r
60797.075621157404	16.222591003171694	2.2132045515168466	1.3293226942344987	23.204	0.097	r
60797.07760085648	16.223321480474052	2.2132085365790815	1.3293399994168813	23.444	0.111	r
60797.08151956018	16.224767574981243	2.2132164247816277	1.3293742431736297	23.34	0.104	r
60797.082482060185	16.225122793349136	2.213218362257492	1.3293826518292537	23.323	0.101	r
60797.09201576389	16.228642039621686	2.2132375532038413	1.3294658948390918	23.978	0.14	g
60797.092498460646	16.228820259855215	2.213238524851534	1.329470107295888	23.978	0.159	g
60797.093455462964	16.229173613584553	2.2132404512544706	1.3294784583625552	23.829	0.13	g
60797.0949015625	16.229707586187516	2.213243362187013	1.3294910758846126	24.055	0.164	g
60797.10071115741	16.231853153863053	2.213255056626332	1.3295417473654272	23.943	0.132	g
60797.102168460646	16.232391454362187	2.2132579901060456	1.3295544534400419	24.015	0.143	g
60797.10659076389	16.23402522008021	2.213266891976818	1.3295930000206992	23.892	0.141	g
60797.10707456018	16.234203976143608	2.2132678658338807	1.3295972159920255	23.747	0.125	g
60797.10804425926	16.234562280656164	2.213269817787283	1.3296056657043798	23.835	0.154	g
