mjd	mag_val	mag_band
60798.11870612269	23.95	g
60799.150132118055	24.04	g
60799.14579112268	24.26	g
60797.126553125	24.05	g
60795.15151011574	24.13	g
60797.11142412037	24.46	g
60795.15494912037	24.28	g
60797.111905115744	24.34	g
60797.117795115744	24.24	g
60798.122597118054	23.87	g
60797.09345511574	24.43	g
60797.121673125	24.11	g
60797.126063125	24.09	g
60797.09201612268	24.48	g
60798.12114412037	24.07	g
60799.14774112269	23.97	g
60799.15064412037	24.22	g
60798.11765511574	23.87	g
60795.15052112268	24.46	g
60797.119243125	24.16	g
60797.11385511574	24.31	g
60799.15409711806	24.02	g
60797.12851711806	24.07	g
60797.13250612268	24.20	g
60797.124098125	24.21	g
60797.12264511574	24.06	g
60797.11674211806	24.12	g
60797.121188125	24.27	g
60798.11620912037	23.95	g
60799.156622118055	24.08	g
60797.12509112268	23.95	g
60799.14821612269	24.23	g
60797.12361011574	24.02	g
60798.10649511574	24.00	g
60797.13096711806	24.24	g
60798.110361122686	23.75	g
60799.035886122685	23.46	i
60799.03735412037	23.24	i
60797.03994912037	23.70	i
60799.03240912037	23.25	i
60799.03339511574	23.55	i
60799.086453125	23.83	r
60798.05151511574	23.36	r
60798.044687118054	23.58	r
60795.05606912037	23.84	r
60798.052971122685	23.36	r
60799.09779112269	23.84	r
60798.05442511574	23.45	r
60797.05619711806	23.81	r
60798.07846011574	23.54	r
60797.062983125	23.85	r
60799.10482511574	23.89	r
60797.05959511574	23.93	r
60799.09235612269	23.72	r
60797.058118125	23.65	r
60795.092543125	23.46	r
60797.06538412037	23.49	r
60797.07176211805	23.47	r
60798.07601711806	23.48	r
60797.07808211805	23.89	r
60799.08549511574	23.82	r
60799.13426112269	23.89	r
60799.094821122686	23.83	r
60797.08003711805	23.94	r
60799.09037612269	23.60	r
60797.068298125	23.77	r
60799.08794612269	23.63	r
60795.03209011574	23.77	r
60798.046648125	23.24	r
60799.09887112268	23.66	r
60797.06685912037	23.75	r
60798.05393412037	23.45	r
60798.045648125	23.74	r
60797.07321011574	23.55	r
60797.07709112269	23.93	r
60799.083994120374	23.88	r
60798.08731011574	23.68	r
60797.07513612269	23.05	r
60799.11852711806	23.93	r
60795.03160112268	23.97	r
60795.03404011574	23.80	r
60798.04955112268	23.38	r
60798.082378125	23.57	r
60797.06250412037	23.97	r
60799.097303125	23.71	r
60795.036498125	23.44	r
60795.034531122685	23.59	r
60797.07272412037	23.58	r
60797.06055412037	23.93	r
60797.061048125	23.91	r
60797.08248211806	23.72	r
60797.07660912037	23.97	r
60798.04907612268	23.48	r
60798.09951011574	23.53	r
60797.062021122685	24.01	r
60798.04270511574	23.33	r
60798.04712912037	23.41	r
60799.09134112269	23.83	r
60797.067821122684	23.74	r
60797.06346412037	23.81	r
60797.05863412037	23.77	r
