mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11028865741	9.120997757864098	3.2294587055013912	2.323645862431696	23.52	0.185	i
60787.111309155094	9.121288450066217	3.229459218008169	2.323653047199355	23.441	0.186	i
60787.11233025463	9.121579324443285	3.2294597308156803	2.3236602353271856	23.354	0.167	i
60787.1129465625	9.121754893443768	3.229460040331408	2.3236645734598733	23.581	0.184	i
60787.11395915509	9.122043361546654	3.2294605488637784	2.3236717003125023	23.449	0.169	i
60787.11497945602	9.122334036562453	3.229461061265726	2.3236788805541866	23.309	0.141	i
60787.115488159725	9.122478966010645	3.2294613167394575	2.3236824601699593	23.48	0.173	i
60787.11752716435	9.123059905314298	3.2294623407340834	2.3236968059661898	23.209	0.145	i
60787.12431576389	9.124994399606997	3.229465749940605	2.3237445440080777	23.447	0.177	i
60787.125841863424	9.125429353319655	3.229466516330993	2.3237552705970237	23.424	0.179	i
60787.12738085648	9.125868009740191	3.2294672891923026	2.3237660859525375	23.567	0.195	i
60787.128398657405	9.126158127412502	3.2294678003159762	2.3237732375872273	23.424	0.177	i
60787.12941436343	9.126447660472033	3.229468310385855	2.3237803736994294	23.096	0.133	i
60787.13094915509	9.126885186058036	3.2294690811282774	2.3237911552764987	23.659	0.2	i
60787.132473564816	9.127319781055753	3.229469846653228	2.323801862138559	23.324	0.161	i
60787.13354326389	9.127624759844691	3.229470383830377	2.3238093742386403	23.498	0.185	i
60790.11731216435	9.972069315281784	3.230961347354673	2.3461578912491907	23.738	0.178	r
60790.11781895833	9.972208681123554	3.2309615993335417	2.3461618090462633	23.753	0.194	r
60790.118846157406	9.97249116522095	3.2309621100579804	2.3461697492467453	23.687	0.197	r
60790.1203753588	9.972911724789927	3.230962870374954	2.3461815683587677	23.333	0.203	r
60790.122444155095	9.973480727390562	3.2309638989715483	2.346197555064165	23.305	0.2	r
60790.132723159724	9.97630865469421	3.230969009542377	2.346276938275917	23.358	0.16	r
60790.13375065972	9.976591412018124	3.2309695203907802	2.3462848692144456	23.628	0.185	r
60790.13617025463	9.977257314801841	3.2309707233480607	2.3463035422848004	24.186	0.163	g
60790.13667755787	9.97739694109347	3.230970975564459	2.3463074568404694	24.278	0.207	g
60790.1377149537	9.977682476721268	3.2309714913257017	2.3463154612332064	24.328	0.186	g
60790.14800275463	9.98051493541555	3.2309766060072236	2.346394800574492	24.239	0.181	g
60790.17847115741	9.988913051769996	3.230991752635856	2.3466293952895168	24.198	0.199	g
60790.18797385417	9.991535479972846	3.230996476353916	2.3467024657431965	23.584	0.219	i
60790.19061106481	9.99226354554404	3.2309977872644966	2.346722737718731	23.447	0.201	i
60793.1355990625	10.793238898935424	3.2324544165207607	2.370839055098268	24.223	0.195	g
60793.137054363426	10.793622512914292	3.232455132732074	2.37085124846947	23.675	0.131	g
60793.184043263886	10.806026353664262	3.232478255918871	2.3712442887488336	23.499	0.153	r
60793.18501516204	10.806283301422871	3.2324787341495917	2.3712524070365286	23.724	0.183	r
60793.1865253588	10.806682596818124	3.232479477251725	2.3712650210477855	23.586	0.174	r
60793.197317164355	10.809537153188524	3.232484787317877	2.371355137475024	24.101	0.174	g
60793.2043240625	10.811391712861926	3.23248823493005	2.3714136296048687	24.26	0.208	g
