mjd	mag	rmsmag	band
60787.109270960646	22.216	0.07	i
60787.11028865741	22.229	0.055	i
60787.11079675926	22.203	0.06	i
60787.1129465625	22.246	0.058	i
60787.11345665509	22.303	0.064	i
60787.11446835648	22.386	0.07	i
60787.11497945602	22.274	0.066	i
60787.115488159725	22.326	0.06	i
60787.115997361114	22.275	0.067	i
60787.11752716435	22.375	0.074	i
60787.118035162035	22.443	0.078	i
60787.11915486111	22.264	0.069	i
60787.124827962965	22.295	0.059	i
60787.12533436342	22.236	0.057	i
60787.12636576389	22.261	0.072	i
60787.12738085648	22.326	0.062	i
60787.12788755787	22.477	0.081	i
60787.12890445602	22.437	0.081	i
60787.12941436343	22.274	0.069	i
60787.12992315972	22.321	0.063	i
60787.13043505787	22.207	0.06	i
60787.13094915509	22.304	0.068	i
60787.132473564816	22.285	0.058	i
60790.11679915509	22.56	0.08	r
60790.11832945602	22.426	0.068	r
60790.1203753588	22.769	0.12	r
60790.12295456018	22.602	0.092	r
60790.13667755787	23.308	0.076	g
60790.13718815972	23.307	0.094	g
60790.14024085648	23.126	0.087	g
60790.148509259256	23.155	0.065	g
60790.17741975695	23.33	0.084	g
60790.17793346065	23.178	0.079	g
60790.184280960646	22.456	0.081	i
60790.18904986111	22.511	0.12	i
60790.18956115741	22.399	0.092	i
60790.19061106481	22.292	0.089	i
60793.13656775463	23.199	0.083	g
60793.1830649537	22.573	0.068	r
60793.18452115741	22.493	0.058	r
60793.197317164355	23.288	0.084	g
60793.2023190625	23.375	0.093	g
60793.20284346065	23.401	0.102	g
