mjd	phase angle	mag	rmsmag	band
60787.109270960646	14.851886163566554	22.596	0.09	i
60787.11079675926	14.852708239016875	22.466	0.072	i
60787.111820162034	14.853259201179279	22.512	0.074	i
60787.11345665509	14.854138988944968	22.504	0.071	i
60787.11446835648	14.854674924647206	22.522	0.073	i
60787.115488159725	14.855208858986401	22.708	0.103	i
60787.115997361114	14.8554901783405	22.526	0.078	i
60787.11701686343	14.856052895813999	22.667	0.099	i
60787.118035162035	14.856587898590318	22.779	0.11	i
60787.12378716435	14.859661075941652	22.58	0.089	i
60787.12533436342	14.860498948222249	22.574	0.076	i
60787.12636576389	14.861051413947855	22.825	0.118	i
60787.12788755787	14.8618481258456	22.638	0.083	i
60787.12890445602	14.862396160945735	22.496	0.077	i
60787.13043505787	14.863223900101021	22.502	0.072	i
60787.132473564816	14.864335301649238	22.772	0.096	i
60790.11679915509	16.455315436183323	23.024	0.093	r
60790.11832945602	16.4561353139244	22.831	0.077	r
60790.11935736111	16.456685997428117	22.932	0.101	r
60790.120883564814	16.457506962025764	22.678	0.082	r
60790.12346195602	16.458865996191754	22.649	0.079	r
60790.124511354166	16.459444192030674	22.715	0.089	r
60790.13322856482	16.46409031080234	22.775	0.076	r
60790.13563986111	16.46537824530348	23.185	0.07	g
60790.13667755787	16.465943436294257	23.247	0.08	g
60790.13718815972	16.466217015333125	23.185	0.063	g
60790.138225462964	16.466768025252858	23.241	0.065	g
60790.14074466435	16.468128797656824	23.177	0.068	g
60790.14326486111	16.46945017645286	23.218	0.075	g
60790.17689106482	16.487433830032565	23.284	0.084	g
60790.17793346065	16.4879942147683	23.195	0.073	g
60790.180328159724	16.489279287903262	22.654	0.08	i
60790.18137706019	16.489815092326232	22.635	0.111	i
60790.18188925926	16.490105662060333	22.606	0.081	i
60790.184280960646	16.491390177087037	22.684	0.113	i
60790.184789363426	16.491673459806847	22.651	0.095	i
60790.18588255787	16.49223777574201	22.857	0.12	i
60790.18692346065	16.49280339097933	22.615	0.096	i
60790.18743475695	16.493059870518536	22.825	0.117	i
60790.1885165625	16.493644182110238	22.634	0.09	i
60790.18956115741	16.49420835566976	22.422	0.093	i
60790.19006706018	16.49448960572461	22.564	0.079	i
60793.13511145833	18.057482663874868	23.278	0.081	g
60793.137539560186	18.058795362602847	23.334	0.094	g
60793.1390024537	18.059552596078813	23.263	0.085	g
60793.14144395833	18.06086799274352	23.19	0.075	g
60793.14390425926	18.062162825015825	23.322	0.074	g
60793.1830649537	18.082961803970953	22.8	0.077	r
60793.18452115741	18.083743686337787	22.899	0.083	r
60793.18551106482	18.084274701737012	22.983	0.088	r
60793.18701505787	18.085068630186644	22.862	0.083	r
60793.19150346065	18.087448845888368	22.804	0.081	r
60793.19399436343	18.088770692290986	22.799	0.076	r
60793.19631126158	18.089994024491652	23.283	0.076	g
60793.19881956019	18.0913285275904	23.214	0.082	g
60793.20133846065	18.092673577410288	23.126	0.072	g
60793.20382966435	18.09398706798206	23.26	0.087	g
60793.20536186342	18.094800058243028	23.363	0.096	g
60795.0355124537	19.059922181560943	22.765	0.079	r
60795.06876835648	19.077488562441633	22.941	0.08	r
60795.07123925926	19.078805855045108	22.922	0.083	r
60795.07221305556	19.079318147718872	22.758	0.066	r
60795.07370555556	19.0800895264232	23.023	0.086	r
60795.09771436342	19.09277936492383	22.895	0.069	r
60795.10069865741	19.094350583769216	22.871	0.11	r
60795.10119706018	19.0945924291036	22.941	0.122	r
60795.10270055556	19.095416450083814	22.99	0.08	r
60795.14657815972	19.11860974261449	23.327	0.089	g
60795.148054861114	19.119374308033514	23.412	0.095	g
60795.14905206019	19.1198975577823	23.277	0.066	g
60795.15052096065	19.12066545158946	23.374	0.079	g
60795.151510358795	19.121189688152246	23.222	0.071	g
60795.15297725694	19.121995495822073	23.281	0.083	g
60795.153967060185	19.12249171793304	23.286	0.072	g
60795.155432060186	19.12327583449641	23.293	0.082	g
60795.15644216435	19.12381672945723	23.287	0.073	g
60795.15793016204	19.124592031807516	23.37	0.078	g
60797.02038376158	20.100730425950726	22.684	0.135	i
60797.021838761575	20.10147936447871	22.701	0.092	i
60797.027719861115	20.104557100578607	22.744	0.102	i
60797.02918745371	20.105337801007252	22.882	0.104	i
60797.030152453706	20.10583731777977	23.036	0.105	i
60797.031588564816	20.10659308391543	22.771	0.082	i
60797.037545162035	20.109703301009333	22.941	0.111	i
60797.042377164355	20.112254932198013	23.135	0.115	i
60797.04386826389	20.11301935830742	22.899	0.114	i
60797.0448578588	20.113554421589015	22.969	0.093	i
60797.04629665509	20.114314974011766	22.681	0.072	i
60797.06202135417	20.122559617240864	22.885	0.072	r
60797.06442966435	20.12382015976855	22.948	0.069	r
60797.06586576389	20.12457180046506	23.046	0.071	r
60797.06936555556	20.126399569029797	22.915	0.104	r
