mjd	mag	rmsmag	band
60790.11832945602	23.293	0.129	r
60790.11935736111	23.075	0.093	r
60790.120883564814	23.325	0.145	r
60790.12295456018	23.36	0.143	r
60790.12346195602	23.228	0.123	r
60790.132723159724	23.282	0.119	r
60790.13322856482	23.429	0.128	r
60790.13563986111	23.799	0.178	g
60790.13718815972	23.816	0.143	g
60790.138225462964	23.729	0.104	g
60790.14326486111	23.899	0.138	g
60790.180328159724	23.182	0.168	i
60790.18137706019	22.945	0.121	i
60790.18188925926	22.943	0.11	i
60790.184280960646	23.041	0.146	i
60790.184789363426	22.804	0.138	i
60790.1885165625	22.825	0.131	i
60790.19006706018	23.0	0.146	i
60793.13656775463	23.882	0.134	g
60793.137539560186	23.726	0.12	g
60793.13851606481	23.577	0.113	g
60793.1390024537	23.812	0.12	g
60793.14144395833	23.745	0.113	g
60793.143418761574	23.861	0.12	g
60793.14390425926	23.792	0.108	g
60793.1830649537	23.252	0.12	r
60793.184043263886	23.257	0.143	r
60793.18452115741	23.226	0.11	r
60793.18551106482	23.289	0.105	r
60793.19150346065	23.299	0.117	r
60793.19250736111	23.045	0.093	r
60793.19351395834	23.321	0.114	r
60793.19631126158	23.683	0.114	g
60793.19783606481	24.042	0.157	g
60793.19881956019	23.746	0.121	g
60793.19981975694	23.626	0.124	g
60793.200338055554	23.833	0.129	g
60793.20133846065	23.767	0.132	g
60793.20284346065	23.602	0.111	g
60793.20382966435	23.877	0.148	g
60793.20484445602	23.79	0.145	g
60795.03062936343	23.142	0.107	r
60795.03208975695	23.18	0.096	r
60795.03306525463	23.393	0.135	r
60795.0340403588	23.271	0.118	r
60795.03453106481	23.438	0.127	r
60795.0355124537	23.222	0.105	r
60795.03649755787	23.182	0.106	r
60795.056069363425	23.298	0.085	r
60795.067234953705	23.314	0.105	r
60795.06876835648	23.311	0.096	r
60795.06974466435	23.545	0.126	r
60795.070718055555	23.321	0.106	r
60795.07123925926	23.361	0.104	r
60795.07221305556	23.362	0.11	r
60795.09254275463	23.22	0.088	r
60795.09771436342	23.31	0.093	r
60795.102194259256	23.549	0.185	r
60795.10270055556	23.378	0.119	r
60795.14657815972	24.187	0.178	g
60795.147565555555	24.03	0.152	g
60795.148054861114	24.343	0.163	g
60795.14905206019	24.134	0.133	g
60795.15052096065	24.105	0.13	g
60795.151510358795	24.039	0.127	g
60795.152488657404	23.899	0.127	g
60795.15297725694	24.201	0.171	g
60795.153967060185	23.919	0.12	g
60795.15494915509	23.911	0.132	g
60797.021838761575	23.052	0.13	i
60797.02284755787	23.308	0.15	i
60797.02380675926	23.569	0.188	i
60797.024286354164	23.57	0.191	i
60797.02526956019	23.553	0.189	i
60797.02622675926	23.364	0.165	i
60797.02671626157	23.144	0.11	i
60797.027719861115	23.354	0.176	i
60797.02870606481	23.344	0.151	i
60797.02918745371	23.486	0.162	i
60797.030152453706	23.403	0.145	i
60797.031588564816	23.376	0.139	i
60797.032566354166	23.759	0.185	i
60797.03354505787	23.323	0.119	i
60797.034055358796	23.548	0.138	i
60797.035119155094	23.624	0.192	i
60797.0365740625	23.594	0.179	i
60797.037545162035	23.326	0.138	i
60797.03851436343	23.473	0.178	i
60797.03899376158	23.511	0.175	i
60797.04093456019	23.477	0.177	i
60797.04140956019	23.432	0.161	i
60797.042377164355	23.389	0.137	i
60797.0448578588	23.694	0.176	i
60797.04582275463	23.177	0.118	i
60797.04629665509	23.753	0.191	i
60797.04725445602	23.466	0.157	i
60797.05030326389	23.651	0.184	i
60797.05078275463	23.438	0.141	i
60797.05475565972	23.642	0.131	r
60797.05619736111	23.67	0.135	r
60797.05715296296	23.721	0.143	r
