mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.13511145833	11.269654248245764	3.009149342673126	2.133995336920744	24.225	0.182	g
60793.14144395833	11.271547164800198	3.0091456368078195	2.1340395265214673	24.316	0.184	g
60793.143418761574	11.272137608608736	3.0091444811078074	2.1340533018064303	24.328	0.198	g
60793.18551106482	11.284739500454618	3.009119845639021	2.1343464065817113	23.982	0.201	r
60793.19783606481	11.288436074590082	3.0091126314006686	2.134432085472095	24.251	0.185	g
60793.2023190625	11.289781437313605	3.0091100072661763	2.134463238354339	24.084	0.179	g
60795.07221305556	11.84589173421966	3.008011523277524	2.1481871707219677	24.095	0.216	r
60795.10270055556	11.854703674016845	3.0079935481754694	2.148413952580321	24.078	0.192	r
60795.14905206019	11.86812363039818	3.0079662158386276	2.1487573421693558	24.631	0.21	g
60795.151510358795	11.868836337796179	3.0079647661063387	2.148775514971506	24.462	0.197	g
60795.153967060185	11.869548690700444	3.0079633173024565	2.1487936726075816	24.316	0.172	g
60797.042377164355	12.413444054651427	3.006845662463737	2.1634208543755964	23.937	0.225	i
60797.05619736111	12.417300010423729	3.006837453634513	2.1635296981639933	24.052	0.187	r
60797.061048159725	12.418653669366677	3.0068345722881755	2.163567857703933	24.244	0.201	r
60797.0634640625	12.419327905788608	3.006833137236556	2.163586854409856	24.275	0.202	r
60797.0653840625	12.419863773619936	3.0068319967427444	2.1636019478148754	23.945	0.166	r
60797.06685865741	12.420275348158485	3.0068311208171132	2.163613537478876	24.109	0.172	r
60797.068297858794	12.420677059708833	3.0068302659112196	2.1636248470064094	24.023	0.169	r
60797.07080085648	12.421375738098906	3.0068287790840182	2.16364451148532	24.196	0.208	r
60797.07416415509	12.422314638795617	3.0068267812004263	2.163670925735093	23.965	0.177	r
60797.075621157404	12.422721406757272	3.0068259156965493	2.163682365358874	24.038	0.181	r
60797.076608958334	12.422997193053728	3.0068253289100935	2.163690119963268	23.87	0.14	r
60797.07907425926	12.423685524802083	3.0068238644298417	2.1637094696710784	23.949	0.177	r
60797.08052525463	12.424090680908616	3.0068230024784492	2.163720855737368	23.892	0.139	r
60797.08296266204	12.424771314986893	3.006821554547087	2.1637399780523245	23.935	0.182	r
60797.08402585648	12.425068225366658	3.0068209229567078	2.1637483175511503	23.808	0.179	r
60797.0886553588	12.426361207674185	3.0068181727732277	2.163784619047735	24.47	0.214	g
60797.09009395833	12.426763043381756	3.0068173181548064	2.163795895843308	24.299	0.173	g
60797.097315555555	12.428780563656353	3.006813028003076	2.1638524776918553	24.337	0.195	g
60797.10071115741	12.429729417357523	3.0068110107294213	2.163879067670351	24.486	0.198	g
