mjd	mag_val	mag_band
60797.096838125	23.98	g
60797.09490211806	23.68	g
60798.10890412037	23.21	g
60797.126063125	23.22	g
60798.110361122686	23.13	g
60798.12357711806	23.29	g
60799.14821612269	23.31	g
60797.11142412037	23.98	g
60797.109487118054	23.44	g
60798.127023125	22.95	g
60798.01398412037	22.54	i
60797.050303125	22.45	i
60798.012517118055	22.39	i
60798.02528711806	22.61	i
60797.043357118055	22.36	i
60799.03339511574	22.45	i
60798.028173125	22.38	i
60798.035023125	22.30	i
60798.020837118056	22.43	i
60799.02849912037	22.61	i
60797.02380711806	22.38	i
60797.04093511574	22.41	i
60799.038336122685	22.49	i
60797.033545115744	22.41	i
60797.028706122685	22.25	i
60799.03144011574	22.63	i
60797.03851412037	22.35	i
60797.026227118055	22.42	i
60798.061356122686	22.70	r
60799.10727511574	22.50	r
60799.10384912037	22.53	r
60798.04419912037	22.78	r
60799.11111612269	22.69	r
60797.07513612269	22.52	r
60798.08827412037	22.64	r
60799.11852711806	22.62	r
60798.08972711806	22.59	r
60798.09844612268	22.75	r
60798.06914011574	22.73	r
60798.076498125	22.57	r
60797.08248211806	22.60	r
60799.105318125	22.52	r
60799.088911122686	22.58	r
60799.09235612269	22.54	r
60798.058897118055	22.58	r
60798.09118011574	22.51	r
60799.11996711806	22.47	r
60799.13474112268	22.49	r
60797.067821122684	22.62	r
60798.07601711806	22.73	r
60798.04712912037	22.68	r
60798.09311612268	22.50	r
60798.073585115744	22.63	r
60798.07846011574	22.62	r
60797.07272412037	22.64	r
60798.04907612268	22.79	r
60799.09779112269	22.61	r
60799.087468125	22.61	r
60799.12729211806	22.70	r
60798.08383511574	22.64	r
60799.13672011574	22.61	r
60797.062983125	22.58	r
60798.068658125	22.51	r
60799.09037612269	22.50	r
