mjd	phase angle	mag	rmsmag	band
60787.109270960646	15.5659374036348	22.427	0.072	i
60787.11028865741	15.566489590594266	22.347	0.072	i
60787.11079675926	15.56677256623058	22.335	0.068	i
60787.111820162034	15.567302050593138	22.307	0.064	i
60787.1129465625	15.567905492917049	22.336	0.066	i
60787.11345665509	15.568176866189479	22.412	0.068	i
60787.11446835648	15.568720755615143	22.339	0.061	i
60787.115488159725	15.569259990918697	22.477	0.071	i
60787.115997361114	15.569525308927899	22.319	0.065	i
60787.11701686343	15.570082143082855	22.159	0.067	i
60787.118035162035	15.570619133617154	22.185	0.064	i
60787.118650358796	15.570951558873379	22.348	0.072	i
60787.124827962965	15.574236820617733	22.436	0.078	i
60787.12533436342	15.574507588940033	22.387	0.062	i
60787.12738085648	15.575594814366875	22.404	0.075	i
60787.12788755787	15.575862931270123	22.416	0.075	i
60787.12992315972	15.57695606196056	22.257	0.063	i
60787.13043505787	15.577227225769969	22.235	0.057	i
60787.13145516204	15.57776964421199	22.252	0.062	i
60787.132473564816	15.578313988866023	22.236	0.058	i
60787.13298486111	15.578580765166555	22.275	0.063	i
60790.11679915509	17.155307709672645	22.461	0.066	r
60790.11832945602	17.156114307739884	22.474	0.067	r
60790.11935736111	17.156652945183218	22.817	0.147	r
60790.12192716435	17.15802312717639	22.316	0.087	r
60790.13322856482	17.164012375233227	22.365	0.07	r
60790.13563986111	17.16529399328387	23.052	0.068	g
60790.13667755787	17.1658310262449	23.094	0.072	g
60790.13718815972	17.16610247718106	23.16	0.073	g
60790.14326486111	17.16931555691942	23.193	0.088	g
60790.148509259256	17.172103829075894	23.393	0.099	g
60790.14901275463	17.17235932230883	23.293	0.076	g
60790.17689106482	17.18714484108414	23.347	0.095	g
60790.17741975695	17.187387041014127	23.276	0.099	g
60790.17793346065	17.187669385906357	23.273	0.079	g
60790.18323115741	17.19049455234353	22.443	0.113	i
60790.184280960646	17.191036679069015	22.33	0.081	i
60790.184789363426	17.191310786222658	22.253	0.079	i
60790.18588255787	17.191871800016873	22.234	0.096	i
60790.18692346065	17.192442785588227	22.447	0.11	i
60790.1885165625	17.19329590503277	22.325	0.091	i
60790.19006706018	17.19411058987784	22.293	0.08	i
60797.030152453706	20.747396567102747	22.63	0.08	i
60797.0448578588	20.754944571798614	22.863	0.09	i
60797.04629665509	20.755687500148372	22.861	0.095	i
60797.06442966435	20.765013849477207	22.855	0.074	r
60797.06586576389	20.765774218802168	23.03	0.081	r
60797.07907425926	20.772558293176175	22.587	0.063	r
60797.099738854165	20.783193844146272	23.31	0.072	g
60797.11289425926	20.789950056892355	23.563	0.092	g
60797.11432986111	20.790684599655116	23.795	0.128	g
60797.12755085648	20.797494930250675	23.43	0.088	g
60798.01740255787	21.25086590411509	22.673	0.148	i
60798.01886736111	21.25160639403861	22.724	0.15	i
60798.03309925926	21.25886588807744	22.624	0.168	i
60798.05054945602	21.26781748469109	22.607	0.104	r
60798.06524016204	21.275315285069663	22.713	0.117	r
60798.06668425926	21.27606163066749	22.857	0.138	r
60798.08139925926	21.283573840925953	22.841	0.122	r
60798.09459395833	21.290340640446217	22.893	0.129	r
60798.09604236111	21.291082324760747	23.007	0.146	r
60798.113781354165	21.30023939727622	23.689	0.19	g
60799.01992385417	21.759364204254837	22.822	0.137	i
60799.02142065972	21.760090163964545	22.563	0.107	i
60799.03488716435	21.76696822244073	22.528	0.096	i
60799.0363765625	21.76773878194674	22.737	0.129	i
60799.09383925926	21.796986582954368	22.721	0.093	r
