mjd	mag_val	mag_band
60795.20651912037	23.09	g
60799.15161511574	23.53	g
60793.201338125	23.46	g
60790.137188125	23.39	g
60793.20383011574	23.24	g
60795.15297711806	23.37	g
60790.14326511574	23.51	g
60798.12850011574	23.60	g
60790.13564011574	23.37	g
60797.09973912037	23.61	g
60790.14074511574	23.47	g
60797.11433011574	23.48	g
60799.15313711805	23.52	g
60790.149013125	23.31	g
60790.17689112268	23.32	g
60798.11378112269	23.46	g
60798.12996211806	23.44	g
60795.15151011574	23.37	g
60795.15793011574	23.29	g
60793.19631112269	23.46	g
60790.177933125	23.42	g
60790.13822511574	23.41	g
60795.15644211805	23.24	g
60793.20536211805	23.41	g
60795.15052112268	23.62	g
60797.11289412037	23.35	g
60793.202843125	23.37	g
60795.15396711806	23.34	g
60798.11523711806	23.49	g
60793.14390412037	23.43	g
60795.14905211805	23.44	g
60797.127551122685	23.47	g
60797.098303125	23.57	g
60795.15543211805	23.24	g
60797.12900011574	23.46	g
60793.13511112268	23.19	g
60787.13145511574	22.40	i
60787.11345711806	22.52	i
60797.03015211806	22.75	i
60787.13298511574	22.48	i
60799.03637711806	22.83	i
60790.18323112268	22.52	i
60787.11865011574	22.35	i
60790.18188912037	22.67	i
60798.01886711806	22.77	i
60797.044858125	23.00	i
60787.11599711805	22.48	i
60790.180328125	22.74	i
60787.13043511574	22.52	i
60787.12890412037	22.39	i
60790.18743511574	22.41	i
60790.185883125	22.55	i
60798.031622118055	22.63	i
60787.12533412037	22.57	i
60787.126366122684	22.35	i
60797.03158912037	22.77	i
60799.034887118054	22.92	i
60787.11701711806	22.43	i
60790.188517118055	22.71	i
60790.18478912037	22.72	i
60798.033099120374	22.61	i
60787.114468125	22.66	i
60793.18551112268	23.02	r
60797.06443011574	23.06	r
60799.12485112269	22.93	r
60799.12339412037	22.87	r
60790.12192711805	22.75	r
60798.08139912037	23.03	r
60790.119357118056	22.98	r
60798.05054912037	23.11	r
60795.10069912037	22.75	r
60799.11016412037	22.86	r
60790.12451112268	22.89	r
60798.07993511574	22.95	r
60799.13816011574	22.92	r
60799.09534011574	22.94	r
60795.10270112268	22.83	r
60799.09383912037	22.82	r
60793.18452112268	22.78	r
60798.09604211806	23.02	r
60798.05199412037	22.87	r
60790.12088412037	22.76	r
60793.19399412037	22.91	r
60795.101197118056	22.73	r
60798.09459412037	23.27	r
60797.07907412037	23.05	r
60798.06668412037	22.85	r
60790.11832912037	22.79	r
60799.10871612268	22.91	r
60798.06524011574	22.86	r
60797.065866122684	22.92	r
60797.08052511574	23.23	r
60793.19250711805	22.86	r
60793.18306511574	22.93	r
60790.13322912037	22.76	r
