mjd	mag	rmsmag	band
60793.13851606481	23.998	0.163	g
60793.14095516204	23.901	0.147	g
60793.143418761574	24.102	0.169	g
60793.19449115741	23.542	0.172	r
60793.199321458334	24.163	0.186	g
60795.03160115741	23.594	0.161	r
60795.033550960645	23.768	0.169	r
60795.0340403588	23.521	0.133	r
60795.068243761576	23.767	0.172	r
60795.070718055555	23.846	0.161	r
60795.07321585648	23.704	0.178	r
60795.09254275463	23.997	0.179	r
60795.15003055555	24.262	0.163	g
60795.152488657404	24.146	0.146	g
60795.15494915509	24.215	0.168	g
60797.02526956019	23.602	0.206	i
60797.02622675926	23.346	0.166	i
60797.02671626157	23.551	0.171	i
60797.02870606481	23.492	0.187	i
60797.03354505787	23.95	0.21	i
60797.034055358796	23.806	0.197	i
60797.04093456019	23.359	0.157	i
60797.04335706018	23.81	0.209	i
60797.055713657406	23.882	0.195	r
60797.05811815972	23.863	0.194	r
60797.05959505787	23.635	0.145	r
60797.060553564814	23.798	0.14	r
60797.061048159725	24.067	0.182	r
60797.06298335648	23.654	0.116	r
60797.06782055555	24.155	0.184	r
60797.068297858794	23.877	0.156	r
60797.0703203588	23.617	0.155	r
60797.072723958336	23.652	0.143	r
60797.07513615741	23.816	0.153	r
60797.075621157404	23.981	0.176	r
60797.07760085648	23.845	0.156	r
60797.082482060185	23.721	0.137	r
60797.08296266204	23.865	0.191	r
60797.08961436342	24.229	0.19	g
60797.09201576389	24.272	0.171	g
60797.093455462964	24.338	0.203	g
60797.09442395833	24.25	0.185	g
60797.0949015625	24.115	0.183	g
60797.09683826389	24.189	0.161	g
60797.097803460645	24.22	0.213	g
60797.101671261575	24.128	0.15	g
60797.102168460646	24.098	0.15	g
60797.10417576389	23.972	0.137	g
60797.10465436343	24.287	0.213	g
60797.109007453706	24.116	0.175	g
60797.11094186342	24.337	0.194	g
60797.1123940625	24.264	0.203	g
60797.115291458336	24.165	0.186	g
60797.11875346065	24.101	0.194	g
60797.11924275463	24.055	0.198	g
60797.12118805556	24.161	0.151	g
60797.12167315972	24.331	0.175	g
60797.123610462964	24.12	0.155	g
60797.12558305555	24.036	0.202	g
60797.12704315972	24.104	0.151	g
60797.129973854164	24.105	0.204	g
60797.13144895833	24.024	0.161	g
60798.04564805556	23.616	0.209	r
60798.054425462964	23.5	0.209	r
60798.06621055555	23.483	0.216	r
60798.074073055555	23.197	0.166	r
60798.07601665509	23.673	0.218	r
60798.08335165509	23.562	0.205	r
60798.09070195602	23.676	0.185	r
60798.09408915509	23.612	0.207	r
60798.09700356481	23.202	0.165	r
60798.1050424537	23.79	0.161	g
60799.013946956016	23.255	0.181	i
60799.014919953705	23.376	0.198	i
60799.016413460646	23.221	0.217	i
60799.02094195602	23.335	0.198	i
60799.02652025463	23.34	0.194	i
60799.0284990625	23.307	0.169	i
60799.03143986111	23.161	0.176	i
60799.03388516204	23.315	0.187	i
60799.038335763886	23.438	0.211	i
60799.08498846065	23.633	0.162	r
60799.085495162035	23.712	0.187	r
60799.08746826389	23.297	0.166	r
60799.087946458334	23.627	0.181	r
60799.08988535879	23.592	0.156	r
60799.090375659725	23.261	0.144	r
60799.092355960645	23.762	0.173	r
60799.09634415509	23.779	0.196	r
60799.0973028588	23.832	0.215	r
60799.09779126157	23.859	0.205	r
60799.100400358795	23.609	0.188	r
60799.101367256946	23.646	0.182	r
60799.102889664355	23.568	0.182	r
60799.103849259256	23.393	0.152	r
60799.10482486111	23.659	0.166	r
60799.105318263886	23.769	0.204	r
60799.107274664355	23.835	0.199	r
60799.10775186343	23.5	0.183	r
60799.10968055556	23.8	0.193	r
60799.11111615741	23.847	0.191	r
60799.112077060185	23.367	0.14	r
60799.11254835648	23.667	0.169	r
60799.11361826389	23.717	0.195	r
60799.11512106482	23.753	0.182	r
60799.116083657405	23.788	0.202	r
60799.117556655096	23.587	0.157	r
60799.118527453706	23.655	0.169	r
60799.11948596065	23.856	0.178	r
60799.11996665509	24.078	0.214	r
60799.12141126157	23.689	0.178	r
60799.12835706019	23.525	0.143	r
60799.12986915509	23.707	0.164	r
60799.130825555556	23.591	0.147	r
60799.13231626157	23.8	0.179	r
60799.13327326389	23.814	0.178	r
60799.134261354164	23.586	0.137	r
60799.13474085648	23.805	0.167	r
60799.13571986111	23.889	0.2	r
60799.13671986111	23.822	0.161	r
60799.13719736111	23.755	0.173	r
60799.147740960645	24.143	0.172	g
60799.1501324537	24.327	0.191	g
60799.150643761575	23.647	0.128	g
60799.15506175926	24.049	0.205	g
60799.15662165509	23.861	0.155	g
