mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.111309155094	9.176690064441518	3.0876351840815324	2.1718794387633493	23.355	0.164	i
60787.11233025463	9.176996383323463	3.0876349143929978	2.1718853297337914	23.247	0.143	i
60787.11395915509	9.177485059854105	3.0876344841745014	2.171894725408228	23.28	0.147	i
60787.11497945602	9.177791169396453	3.087634214696664	2.1719006094655806	23.219	0.141	i
60787.11752716435	9.178555581913658	3.0876335418058796	2.1719152982108287	23.408	0.184	i
60787.11915486111	9.179043994473659	3.0876331119047684	2.17192467980315	23.449	0.191	i
60787.12431576389	9.180592804737957	3.0876317488254967	2.1719544113280373	23.098	0.135	i
60787.125841863424	9.18105085736425	3.087631345757156	2.1719631988943897	23.17	0.132	i
60787.126874953705	9.18136095194676	3.087631072900774	2.1719691465541167	23.015	0.119	i
60787.128398657405	9.18181833527682	3.087630670464961	2.171977917194017	22.948	0.108	i
60787.12941436343	9.182123245278612	3.087630402199838	2.171983762705509	23.385	0.179	i
60787.13094915509	9.182584008029004	3.087629996835285	2.1719925940721185	23.201	0.132	i
60787.13196466435	9.18288889329426	3.0876297286218977	2.171998436413297	23.052	0.139	i
60787.13354326389	9.183362862043657	3.0876293116866442	2.172007516681204	23.02	0.119	i
60790.11731216435	10.0761882669072	3.086840974273399	2.190554571637016	23.287	0.143	r
60790.11781895833	10.076336153004208	3.086840840329886	2.1905578466216733	23.006	0.108	r
60790.118846157406	10.076635907045036	3.0868405688451657	2.1905644839179264	23.374	0.12	r
60790.1198728588	10.076935528782224	3.0868402974920732	2.1905711171453337	23.188	0.118	r
60790.12139645834	10.07738018453882	3.086839894810599	2.190580959137551	23.242	0.149	r
60790.122444155095	10.077685967357832	3.0868396179082658	2.190587725871438	23.301	0.142	r
60790.12295456018	10.077834940182598	3.0868394830101806	2.190591022095681	23.049	0.123	r
60790.12398135417	10.07813464280056	3.0868392116322383	2.1905976525721518	23.105	0.115	r
60790.132206064816	10.080535793043998	3.0868370378695653	2.1906507338434102	23.162	0.108	r
60790.13375065972	10.080986831089895	3.0868366296379346	2.1906606967612743	23.142	0.1	r
60790.13617025463	10.081693446230949	3.086835990146452	2.190676300044295	23.919	0.134	g
