mjd	phase angle	mag	rmsmag	band
60787.11028865741	15.074010311772309	22.119	0.054	i
60787.111309155094	15.07452166434916	22.064	0.052	i
60787.11233025463	15.075033920785456	22.016	0.05	i
60787.1129465625	15.075337631429148	22.149	0.053	i
60787.11395915509	15.075843104648866	22.089	0.049	i
60787.11497945602	15.076357858698847	22.116	0.049	i
60787.115488159725	15.076610674802508	22.033	0.048	i
60787.11650885417	15.077123666446662	22.144	0.057	i
60787.11752716435	15.077625502049353	22.071	0.052	i
60787.118035162035	15.077873506686647	22.097	0.059	i
60787.11915486111	15.078438356795074	22.044	0.052	i
60787.12431576389	15.081013203361929	22.1	0.054	i
60787.124827962965	15.081260705455925	22.094	0.052	i
60787.125841863424	15.08176779448863	22.058	0.053	i
60787.126874953705	15.082284780871397	22.123	0.057	i
60787.128398657405	15.083036876075086	22.042	0.05	i
60787.12941436343	15.083540961260518	22.048	0.052	i
60787.12992315972	15.083806021872054	22.101	0.053	i
60787.13094915509	15.084313925511996	22.048	0.045	i
60787.13196466435	15.084814533742124	22.12	0.056	i
60787.132473564816	15.085072319548502	22.058	0.053	i
60787.13354326389	15.085607118236123	22.029	0.05	i
60790.11731216435	16.56334355888066	22.363	0.056	r
60790.11781895833	16.56360053763555	22.333	0.049	r
60790.11832945602	16.56383747453565	22.312	0.06	r
60790.118846157406	16.5641074481373	22.305	0.047	r
60790.1198728588	16.564613213561138	22.309	0.062	r
60790.1203753588	16.564863475568526	22.356	0.067	r
60790.120883564814	16.565137515912134	22.302	0.072	r
60790.122444155095	16.56591772029896	22.358	0.072	r
60790.12295456018	16.566159307152024	22.267	0.051	r
60790.12398135417	16.566667841984138	22.27	0.062	r
60790.132206064816	16.570791426354585	22.437	0.056	r
60790.132723159724	16.57103589007293	22.327	0.055	r
60790.13375065972	16.571555423318674	22.449	0.06	r
60790.13617025463	16.572754278794303	22.9	0.049	g
60790.13667755787	16.573009733870133	22.857	0.05	g
60790.1377149537	16.57353132491048	22.896	0.05	g
60790.13875005787	16.574059150640927	23.026	0.068	g
60790.14024085648	16.574795028707673	22.889	0.054	g
60790.14126815972	16.57530635036734	22.934	0.063	g
60790.14800275463	16.578667620409103	23.039	0.06	g
60790.148509259256	16.57892685122341	22.923	0.048	g
60790.17741975695	16.593359649154728	22.949	0.056	g
60790.17847115741	16.593914217129875	23.027	0.07	g
60790.180868055555	16.595090461950537	22.22	0.06	i
60790.18137706019	16.59533490792255	22.262	0.066	i
60790.18377085648	16.596528763601793	22.19	0.075	i
