mjd	mag_val	mag_band
60795.148055115744	24.44	g
60798.12016412037	24.01	g
60795.146578125	23.98	g
60797.12997412037	24.04	g
60797.10707511574	24.35	g
60797.120221122685	23.92	g
60797.13096711806	24.21	g
60797.100711122686	24.23	g
60798.13690211806	23.75	g
60797.08865511574	24.16	g
60797.11529112268	24.28	g
60799.14821612269	24.03	g
60797.09587011574	24.24	g
60797.116253125	24.00	g
60797.092498125	24.07	g
60797.117795115744	23.85	g
60797.11142412037	24.16	g
60797.09345511574	23.97	g
60797.102168125	23.99	g
60797.09009412037	24.25	g
60797.096838125	24.15	g
60798.12357711806	23.90	g
60797.13250612268	23.59	g
60798.11279612269	23.70	g
60798.133472118054	23.82	g
60797.124098125	23.99	g
60797.10322011574	23.93	g
60797.126553125	24.23	g
60798.110361122686	24.05	g
60797.121673125	24.26	g
60797.111905115744	23.98	g
60797.105626122684	24.17	g
60797.126063125	23.76	g
60797.09490211806	24.00	g
60797.12264511574	24.45	g
60799.14676711806	24.03	g
60797.10465412037	24.26	g
60797.119243125	23.75	g
60797.131449120374	24.07	g
60799.15064412037	24.11	g
60798.11231211806	23.77	g
60797.09105412037	24.23	g
60799.14917511574	23.94	g
60799.03884612268	23.04	i
60797.04237711806	23.62	i
60798.02528711806	23.00	i
60797.02671612269	23.67	i
60799.02652011574	23.30	i
60797.02918711805	23.49	i
60797.04725412037	23.29	i
60799.025038125	23.37	i
60797.050783125	23.43	i
60797.03657412037	23.34	i
60797.033545115744	23.38	i
60797.03754511574	23.52	i
60797.02428612269	23.31	i
60799.01344011574	23.40	i
60797.041410115744	23.64	i
60799.01394711806	23.40	i
60799.03144011574	23.31	i
60797.027720115744	23.45	i
60799.022423125	23.20	i
60797.021352118056	23.41	i
60797.03256612268	23.81	i
60799.01492011574	23.32	i
60799.02752912037	23.17	i
60797.03899412037	23.47	i
60797.03994912037	23.46	i
60799.02849912037	23.51	i
60799.01243011574	23.54	i
60798.01299511574	22.98	i
60798.01349511574	23.22	i
60797.02038412037	23.07	i
60799.02898112268	23.38	i
60797.043357118055	23.51	i
60798.01593011574	23.07	i
60797.022848125	23.35	i
60799.02601612268	23.24	i
60797.02380711806	23.60	i
60799.018926122684	23.35	i
60798.01446912037	23.12	i
60797.026227118055	23.21	i
60799.03240912037	23.12	i
60797.03851412037	23.31	i
60799.12986912037	23.58	r
60797.07808211805	23.57	r
60798.04907612268	23.72	r
60799.11996711806	23.52	r
60795.092543125	23.58	r
60798.05151511574	23.51	r
60798.04046211806	23.32	r
60798.088756122685	23.59	r
60799.11207711806	23.37	r
60797.058118125	23.44	r
60795.03404011574	23.35	r
60798.04419912037	23.29	r
60798.045648125	23.53	r
60797.06685912037	23.59	r
60797.062021122685	23.62	r
60798.06377912037	23.22	r
60799.133273125	23.73	r
60798.06035912037	23.38	r
60797.05571412037	23.53	r
60798.08972711806	23.69	r
60799.11755711806	23.39	r
60799.12729211806	23.40	r
60797.068298125	23.55	r
60799.10384912037	23.41	r
60798.076498125	23.39	r
60795.070718125	23.58	r
60798.05696711806	23.40	r
60799.088911122686	23.34	r
60799.113618125	23.43	r
60797.07176211805	23.55	r
60799.092837118056	23.68	r
60798.08091211806	23.42	r
60799.09134112269	23.80	r
60799.10289011574	23.52	r
60799.08549511574	23.49	r
60797.082963125	23.96	r
60795.10270112268	23.47	r
60799.097303125	23.41	r
60799.13082612269	23.39	r
60795.06974511574	23.75	r
60798.071651122686	23.44	r
60799.122415115744	23.43	r
60798.06281511574	23.31	r
60799.112548125	23.46	r
60797.054756122685	23.72	r
60799.11852711806	23.37	r
60799.11111612269	23.33	r
60799.121921122685	23.51	r
60799.10482511574	23.83	r
60799.126801122686	23.45	r
60798.07893711806	23.55	r
60797.07080112268	23.70	r
60797.05959511574	23.33	r
60799.08794612269	23.47	r
60797.06936612268	23.41	r
60799.125808125	23.26	r
60799.13474112268	23.68	r
60797.062983125	23.54	r
60799.09235612269	23.65	r
60799.13426112269	23.67	r
60798.05442511574	23.63	r
60798.07746612268	23.24	r
60798.052971122685	23.58	r
60797.084026122684	23.58	r
60798.04712912037	23.76	r
60797.07660912037	23.32	r
60799.128357118054	23.36	r
60797.06346412037	23.55	r
60798.097968125	23.47	r
60799.135720115744	23.69	r
60799.09779112269	23.49	r
60798.04955112268	23.47	r
60799.08988511574	23.57	r
60797.05619711806	23.74	r
60799.13231612268	23.49	r
60797.061048125	23.59	r
60797.06538412037	23.75	r
60799.11704011574	23.36	r
60798.09951011574	23.52	r
60798.09311612268	23.72	r
60798.05793711806	23.38	r
60797.05863412037	23.46	r
60798.07505011574	23.27	r
60797.07416412037	23.67	r
60799.120928125	23.47	r
60797.07321011574	23.66	r
60799.137197118056	23.61	r
60797.07562112268	23.50	r
60799.105318125	23.58	r
60798.04320011574	23.24	r
60799.09037612269	23.59	r
60798.06183612269	23.67	r
60797.077601122684	23.51	r
60797.057153125	23.53	r
60795.03160112268	23.50	r
60799.11948612268	23.71	r
60799.083994120374	23.77	r
60795.07123912037	23.62	r
