mjd	phase angle	mag	rmsmag	band
60787.10978266204	14.844581941392654	23.064	0.186	i
60787.11028865741	14.844795401404715	23.375	0.16	i
60787.11079675926	14.845052833439398	23.442	0.184	i
60787.111820162034	14.845612838433363	22.874	0.11	i
60787.11345665509	14.84646591834966	23.162	0.134	i
60787.11395915509	14.846757352425406	23.307	0.15	i
60787.11446835648	14.847008399876835	22.947	0.122	i
60787.11497945602	14.84729432645082	23.234	0.154	i
60787.115488159725	14.84757154747943	23.129	0.123	i
60787.115997361114	14.847833420509641	23.162	0.149	i
60787.11650885417	14.848124874771228	23.049	0.132	i
60787.11752716435	14.848652046404275	23.406	0.177	i
60787.118035162035	14.848934303218273	23.354	0.176	i
60787.11915486111	14.84952340041162	23.154	0.147	i
60787.124827962965	14.852549329468719	23.396	0.165	i
60787.12533436342	14.852781294378865	23.051	0.12	i
60787.125841863424	14.853052679169332	23.008	0.15	i
60787.12636576389	14.853351033267558	23.278	0.18	i
60787.126874953705	14.853632034529644	23.14	0.15	i
60787.12738085648	14.853888126111595	23.381	0.155	i
60787.128398657405	14.854448649359934	23.16	0.134	i
60787.12890445602	14.854684716995862	23.493	0.214	i
60787.12941436343	14.854965974833814	23.337	0.173	i
60787.12992315972	14.855252952246124	23.211	0.138	i
60787.13043505787	14.855522602037041	23.212	0.151	i
60787.13094915509	14.855787100564278	23.241	0.141	i
60787.13196466435	14.856352922843355	23.544	0.202	i
60787.132473564816	14.85658730005701	23.423	0.164	i
60787.13298486111	14.85690059357093	23.494	0.206	i
60787.13354326389	14.8572016819799	23.334	0.17	i
60790.11679915509	16.437220486659577	23.734	0.199	r
60790.11935736111	16.43858713247341	23.443	0.2	r
60790.13375065972	16.446215900146036	23.648	0.192	r
60790.13617025463	16.447530524217672	23.927	0.133	g
60790.1377149537	16.448334289994623	23.911	0.134	g
60790.138225462964	16.448622401372347	23.905	0.144	g
60790.14024085648	16.449638706931076	24.025	0.148	g
60790.14074466435	16.44990273929875	23.984	0.153	g
60790.14800275463	16.453798973331168	23.809	0.13	g
60790.148509259256	16.454057072102465	23.834	0.106	g
60790.17741975695	16.469389882213715	23.759	0.119	g
60790.17793346065	16.46965074940558	23.734	0.133	g
60790.17847115741	16.469947013141706	24.098	0.226	g
60790.180868055555	16.471208432919553	23.154	0.148	i
60790.18137706019	16.471484064865383	23.302	0.152	i
60790.184280960646	16.473053035669786	23.181	0.146	i
60790.18532755787	16.473589977060694	23.314	0.185	i
60790.18642106481	16.474148111984913	23.438	0.186	i
60790.18692346065	16.474421954011884	23.243	0.169	i
60790.18797385417	16.474996154196873	23.375	0.171	i
60790.18956115741	16.475860116355218	23.162	0.156	i
60790.19061106481	16.476394089814796	23.293	0.17	i
60793.13511145833	18.025158317514265	23.869	0.132	g
60793.1360865625	18.025706330704697	24.213	0.178	g
60793.13656775463	18.025930567402643	24.053	0.161	g
60793.137539560186	18.026483065263307	23.91	0.153	g
60793.13851606481	18.02695168538073	23.923	0.136	g
60793.1390024537	18.027224857641894	24.041	0.154	g
60793.139983263885	18.027730761030337	23.834	0.13	g
60793.14095516204	18.028271566361507	23.934	0.136	g
60793.14144395833	18.02852436672459	24.297	0.189	g
60793.142930462964	18.029275600313955	23.728	0.122	g
60793.18551106482	18.051691275808665	23.869	0.188	r
