mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11446835648	9.286106651360823	2.986815825609509	2.06564401801662	23.401	0.184	i
60787.115997361114	9.286622957027754	2.9868157528933805	2.065653592605044	23.34	0.177	i
60787.11701686343	9.286967231152444	2.9868157044010175	2.0656599756314264	23.335	0.203	i
60787.12636576389	9.290124804861579	2.9868152594604043	2.0657184690989214	23.254	0.174	i
60787.13298486111	9.292361044409038	2.986814944152428	2.065759841363398	23.51	0.196	i
60790.11832945602	10.291930106808422	2.9866485304868284	2.0858417874268187	23.741	0.176	r
60790.11935736111	10.292263708496401	2.9866484648702754	2.08584895750949	23.488	0.134	r
60790.120883564814	10.292759054948098	2.9866483674341233	2.085859601917591	23.468	0.156	r
60790.12192716435	10.293097783638158	2.9866483008012112	2.0858668793904807	23.655	0.182	r
60790.12346195602	10.293595967352484	2.986648202795393	2.085877580632112	23.586	0.176	r
60790.132723159724	10.296602760034409	2.986647611140125	2.0859421161351177	23.75	0.197	r
60790.13322856482	10.296766881608038	2.986647578838773	2.0859456361686504	23.711	0.163	r
60790.138225462964	10.298389736576524	2.986647259403449	2.085980428666131	24.434	0.191	g
60790.14326486111	10.300026770632595	2.9866469371141826	2.0860154995327584	24.198	0.169	g
60790.180328159724	10.312079708344726	2.986644562543352	2.086272960987422	23.424	0.2	i
60790.19006706018	10.315251003941787	2.9866439373566944	2.086340497409309	23.52	0.204	i
60793.1390024537	11.260506279387807	2.986430994432368	2.1082972653382366	24.306	0.192	g
60793.143418761574	11.261875993013701	2.986430640199063	2.1083310030766182	24.453	0.211	g
60793.14390425926	11.26202658889139	2.986430601250686	2.1083347112098814	24.199	0.156	g
60793.18452115741	11.274640248003257	2.98642733829669	2.1086444780853744	23.54	0.142	r
60793.18551106482	11.27494805741511	2.9864272586610285	2.10865201821101	23.765	0.167	r
60793.18701505787	11.275415758577369	2.986427137658241	2.1086634734450747	23.834	0.188	r
60793.19150346065	11.27681180450658	2.986426776473929	2.1086976548789047	23.779	0.182	r
60793.19250736111	11.277124108438139	2.9864266956745444	2.1087052991674153	23.705	0.158	r
60793.19351395834	11.277437272231312	2.986426614652638	2.1087129636684074	23.737	0.176	r
60793.19399436343	11.277586739106802	2.986426575982472	2.1087166214899846	23.943	0.21	r
60793.19783606481	11.278782168685439	2.986426266700046	2.1087458698598085	24.281	0.199	g
60793.19881956019	11.279088254611969	2.986426187509306	2.108753356911919	24.316	0.199	g
60793.200338055554	11.279560884788072	2.9864260652302286	2.108764916241819	23.997	0.149	g
60793.20133846065	11.279872286648365	2.9864259846642924	2.108772531352672	24.288	0.206	g
60793.20284346065	11.280340796712583	2.9864258634514638	2.1087839869731906	24.321	0.208	g
60795.0355124537	11.845152361927818	2.9862691559975345	2.1234527699322543	23.872	0.199	r
60795.03649755787	11.845446602605838	2.986269066871472	2.1234608074822536	23.565	0.178	r
60795.056069363425	11.851292945681717	2.986267295047339	2.1236202960556967	23.548	0.108	r
60795.067234953705	11.854628928785058	2.9862662833035314	2.1237111165970397	23.821	0.161	r
60795.06876835648	11.855087124848023	2.986266144305117	2.1237235800281935	23.712	0.141	r
60795.06974466435	11.855378863335712	2.986266055799065	2.123731514271987	23.641	0.14	r
60795.07123925926	11.85582548776469	2.9862659202983006	2.1237436588058087	23.681	0.143	r
60795.07221305556	11.856116492141274	2.9862658320068842	2.123751570407555	23.973	0.192	r
60795.07370555556	11.856562516227457	2.9862656966761074	2.1237636945120446	23.67	0.149	r
60795.09254275463	11.862193461137508	2.9862639875968124	2.1239165434312537	23.941	0.185	r
60795.09771436342	11.863739982440066	2.986263518045906	2.1239584529287123	23.77	0.141	r
60795.102194259256	11.865079888498352	2.9862631111813043	2.12399473893013	23.337	0.169	r
60795.10270055556	11.865231332578897	2.9862630651925866	2.123998838765515	23.836	0.159	r
60795.14905206019	11.879110866365844	2.9862588490366058	2.124373377400009	24.654	0.215	g
60795.15052096065	11.879551263377932	2.986258715234454	2.1243852237152487	24.568	0.203	g
