mjd	mag	rmsmag	band
60787.11079675926	22.831	0.11	i
60787.111820162034	22.939	0.118	i
60787.11701686343	22.832	0.116	i
60787.118650358796	22.862	0.116	i
60787.12636576389	22.716	0.119	i
60787.12788755787	22.719	0.097	i
60787.12890445602	22.784	0.098	i
60787.13043505787	22.798	0.1	i
60787.13145516204	22.674	0.083	i
60787.13298486111	22.605	0.083	i
60790.11679915509	23.176	0.147	r
60790.11935736111	23.045	0.098	r
60790.120883564814	23.038	0.125	r
60790.12192716435	22.986	0.11	r
60790.12346195602	23.077	0.111	r
60790.124511354166	23.032	0.109	r
60790.13322856482	23.348	0.124	r
60790.13563986111	23.559	0.103	g
60790.13718815972	23.66	0.097	g
60790.138225462964	23.622	0.094	g
60790.14074466435	23.783	0.121	g
60790.14901275463	23.862	0.12	g
60790.17793346065	23.526	0.115	g
60790.180328159724	22.89	0.112	i
60790.18188925926	22.995	0.117	i
60790.18323115741	22.812	0.107	i
60790.184789363426	23.035	0.129	i
60790.18588255787	22.891	0.119	i
60790.18743475695	22.811	0.114	i
60790.19006706018	22.816	0.102	i
60793.13511145833	23.743	0.122	g
60793.13656775463	23.75	0.123	g
60793.137539560186	23.787	0.158	g
60793.1390024537	23.559	0.117	g
60793.139983263885	23.761	0.126	g
60793.14144395833	23.629	0.12	g
60793.14243385417	23.565	0.098	g
60793.14390425926	23.622	0.096	g
60793.1830649537	23.13	0.106	r
60793.18452115741	23.287	0.118	r
60793.18551106482	22.965	0.088	r
60793.18701505787	23.332	0.128	r
60793.19150346065	23.157	0.11	r
60793.19250736111	23.039	0.086	r
60793.19399436343	23.205	0.11	r
60793.19631126158	24.073	0.159	g
60793.19783606481	23.606	0.106	g
60793.19881956019	24.067	0.181	g
60793.20133846065	23.531	0.105	g
60793.20382966435	23.653	0.125	g
60793.20536186342	23.63	0.125	g
60795.0355124537	23.1	0.109	r
60795.056069363425	23.008	0.078	r
60795.06876835648	23.294	0.109	r
60795.06974466435	23.247	0.11	r
60795.07123925926	23.32	0.116	r
60795.07221305556	23.314	0.106	r
60795.07370555556	23.017	0.094	r
60795.09771436342	23.18	0.089	r
60795.10119706018	23.185	0.147	r
60795.10270055556	23.155	0.092	r
60795.14657815972	23.69	0.131	g
60795.14905206019	23.547	0.092	g
60795.15052096065	23.711	0.133	g
60795.153967060185	23.868	0.143	g
60795.15644216435	23.82	0.123	g
60797.02038376158	22.829	0.153	i
60797.021838761575	23.134	0.138	i
60797.02284755787	22.847	0.101	i
60797.024286354164	23.196	0.14	i
60797.02526956019	23.041	0.129	i
60797.027719861115	23.144	0.14	i
60797.02918745371	23.243	0.14	i
60797.030152453706	23.215	0.121	i
60797.031588564816	23.333	0.133	i
60797.032566354166	23.353	0.137	i
60797.035119155094	23.445	0.211	i
60797.037545162035	23.344	0.155	i
60797.03899376158	23.167	0.131	i
60797.042377164355	23.181	0.117	i
60797.04386826389	23.015	0.126	i
60797.0448578588	23.122	0.105	i
60797.04629665509	23.258	0.123	i
60797.04725445602	23.031	0.11	i
60797.05475565972	23.15	0.116	r
60797.05619736111	23.363	0.11	r
60797.05715296296	23.211	0.101	r
60797.06202135417	23.125	0.085	r
60797.0634640625	23.218	0.085	r
60797.06442966435	23.167	0.084	r
60797.06685865741	23.151	0.081	r
60797.068297858794	23.167	0.092	r
60797.06936555556	23.17	0.128	r
60797.07080085648	23.363	0.109	r
60797.07176186342	23.277	0.103	r
60797.076608958334	23.224	0.085	r
60797.07808165509	23.126	0.096	r
60797.07907425926	23.375	0.11	r
60797.08052525463	23.423	0.091	r
60797.08296266204	23.247	0.108	r
60797.0886553588	23.91	0.145	g
60797.091053854165	23.854	0.135	g
60797.092498460646	23.924	0.138	g
60797.09587005787	23.888	0.142	g
60797.097315555555	23.558	0.105	g
60797.09830315972	23.869	0.131	g
60797.099738854165	23.708	0.089	g
60797.10071115741	23.817	0.118	g
60797.10562635417	24.09	0.194	g
60797.10707456018	23.77	0.122	g
60797.10804425926	23.884	0.157	g
60797.11045716435	23.753	0.123	g
60797.111904756945	23.649	0.105	g
60797.11289425926	23.683	0.099	g
60797.11432986111	23.784	0.117	g
60797.115291458336	23.906	0.136	g
60797.11674175926	23.551	0.118	g
60797.11779525463	23.651	0.112	g
60797.11924275463	23.733	0.137	g
60797.12167315972	23.803	0.112	g
60797.12655335648	23.628	0.108	g
60797.12755085648	23.796	0.116	g
60797.12900046296	23.912	0.145	g
60797.129973854164	23.596	0.126	g
60797.13144895833	24.003	0.16	g
60797.132505960646	23.583	0.154	g
60798.01740255787	22.982	0.17	i
60798.01886736111	22.807	0.141	i
60798.0198665625	22.67	0.128	i
60798.021901458334	22.869	0.202	i
60798.029175358795	22.973	0.205	i
60798.03062186343	22.727	0.153	i
60798.03162195602	23.09	0.202	i
