mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.1129465625	9.898888712010217	2.785744707041849	1.8605737520514256	22.435	0.08	i
60787.11446835648	9.899415963583134	2.7857437263423956	1.8605814612036082	22.363	0.076	i
60787.115997361114	9.899945744277828	2.7857427409977755	1.8605892049067654	22.297	0.069	i
60787.12636576389	9.90353912748028	2.785736059269349	1.860641664908812	22.233	0.068	i
60787.132473564816	9.905656661653586	2.78573212323938	1.8606725274153721	22.574	0.091	i
60790.11832945602	10.937941967930115	2.7838107397388563	1.8771369937331313	22.582	0.071	r
60790.11935736111	10.938288017924819	2.783810079257475	1.8771429069686487	22.508	0.056	r
60790.120883564814	10.93880185201479	2.783809098594789	1.8771516852162222	22.599	0.073	r
60790.12192716435	10.939153225613783	2.7838084280305098	1.8771576866108488	22.461	0.066	r
60790.12346195602	10.9396700107196	2.783807441852311	1.877166511130615	22.517	0.065	r
60790.124511354166	10.940023378101666	2.7838067675640024	1.8771725437449702	22.604	0.079	r
60790.13322856482	10.94295943398361	2.7838011663673354	1.8772226233265576	22.615	0.062	r
60790.13718815972	10.944293488194035	2.7837986221668456	1.877245352191405	23.323	0.091	g
60790.14024085648	10.945322178963417	2.7837966606923703	1.8772628675974627	23.268	0.087	g
60790.14074466435	10.945491966847314	2.783796336977143	1.8772657576554386	23.162	0.066	g
60790.148509259256	10.948109292386691	2.7837913479568672	1.8773102767053684	23.431	0.099	g
60790.180328159724	10.958847490104011	2.78377090361965	1.877492328394182	22.581	0.099	i
60790.18137706019	10.959201841750827	2.7837702296891744	1.8774983205088491	22.264	0.064	i
60790.18188925926	10.959374887748282	2.7837699005958014	1.8775012463924066	22.391	0.067	i
60790.18323115741	10.959828275124718	2.783769038412706	1.8775089112772259	22.422	0.111	i
60790.184280960646	10.960183001155716	2.783768363904052	1.8775149071614643	22.485	0.087	i
60790.184789363426	10.960354798174889	2.7837680372509426	1.877517810693021	22.391	0.098	i
60790.18692346065	10.961076007442335	2.783766666076279	1.8775299974825674	22.368	0.083	i
60793.1360865625	11.947052866555413	2.7818746391563756	1.895842068152148	23.244	0.089	g
60793.13656775463	11.947209056175128	2.7818743309177387	1.8958451470690172	23.304	0.082	g
60793.137539560186	11.94752450622462	2.7818737084059317	1.8958513647038602	23.071	0.067	g
60793.1390024537	11.947999397006448	2.7818727713176576	1.8958607231296962	23.211	0.071	g
60793.139983263885	11.948317813856807	2.7818721430391236	1.8958669967683137	23.286	0.081	g
60793.14095516204	11.948633355086502	2.7818715204698807	1.89587321277358	23.148	0.076	g
60793.14243385417	11.949113468198538	2.7818705732649316	1.8958826689053534	23.28	0.072	g
60793.143418761574	11.949433278257947	2.781869942364315	1.8958889665272771	23.241	0.074	g
60793.14390425926	11.949590931495324	2.7818696313697733	1.8958920706328393	23.338	0.073	g
60793.1830649537	11.962323322078003	2.7818445467969206	1.8961420110164116	22.574	0.065	r
60793.18452115741	11.962797430961686	2.781843614038576	1.896151290902098	22.673	0.068	r
60793.18551106482	11.963119752036022	2.7818429799628532	1.896157598769695	22.649	0.06	r
60793.18701505787	11.963609507192727	2.7818420165956055	1.8961671817680104	22.644	0.065	r
60793.19150346065	11.965071412918533	2.781839141605105	1.8961957756100452	22.604	0.063	r
60793.19250736111	11.965398456396771	2.781838498570926	1.8962021700990264	22.63	0.064	r
60793.19351395834	11.965726402647684	2.7818378538101256	1.8962085814255076	22.618	0.062	r
60793.19399436343	11.965882925721168	2.7818375460940805	1.8962116411551033	22.635	0.065	r
