mjd	mag	rmsmag	band
60793.1390024537	24.142	0.166	g
60793.139983263885	24.337	0.206	g
60793.14095516204	24.112	0.187	g
60793.143418761574	24.362	0.187	g
60793.14390425926	24.549	0.213	g
60793.1830649537	23.872	0.207	r
60793.18452115741	23.952	0.205	r
60793.18551106482	23.658	0.152	r
60793.18701505787	23.966	0.213	r
60793.19250736111	23.769	0.172	r
60793.19399436343	23.685	0.169	r
60793.19881956019	24.02	0.156	g
60793.200338055554	24.364	0.208	g
60793.20133846065	24.222	0.198	g
60793.2023190625	24.033	0.174	g
60795.0355124537	23.937	0.202	r
60795.056069363425	23.898	0.147	r
60795.067234953705	24.122	0.21	r
60795.06876835648	24.228	0.221	r
60795.06974466435	23.887	0.17	r
60795.07123925926	23.972	0.181	r
60795.07221305556	23.899	0.178	r
60795.07321585648	23.495	0.151	r
60795.07370555556	23.8	0.165	r
60795.09771436342	24.139	0.196	r
60795.14905206019	24.358	0.164	g
60795.15052096065	24.442	0.179	g
60795.15297725694	24.245	0.183	g
60795.15494915509	24.154	0.166	g
60795.155432060186	24.296	0.168	g
60795.15644216435	24.359	0.177	g
60795.15793016204	24.537	0.217	g
60797.02284755787	23.465	0.175	i
60797.024286354164	23.68	0.204	i
60797.031588564816	23.941	0.226	i
60797.0365740625	23.669	0.191	i
60797.04140956019	23.59	0.177	i
60797.05078275463	23.847	0.208	i
60797.05475565972	24.182	0.212	r
60797.05619736111	24.003	0.179	r
60797.05715296296	23.792	0.148	r
60797.061048159725	24.249	0.199	r
60797.0634640625	24.308	0.204	r
60797.06442966435	24.12	0.196	r
60797.06685865741	24.051	0.161	r
60797.068297858794	24.089	0.174	r
60797.07080085648	23.986	0.175	r
60797.07176186342	23.986	0.174	r
60797.07416415509	24.185	0.217	r
60797.075621157404	24.201	0.209	r
60797.076608958334	24.05	0.163	r
60797.07760085648	23.905	0.18	r
60797.07907425926	23.91	0.174	r
60797.091053854165	24.236	0.175	g
60797.097315555555	24.41	0.205	g
60797.09926296296	24.337	0.185	g
60797.11045716435	24.31	0.181	g
60798.05054945602	23.556	0.202	r
60798.051993657406	23.59	0.21	r
60798.05297145833	23.622	0.211	r
60798.057937060184	23.567	0.193	r
60798.088755763885	23.621	0.195	r
60798.09459395833	23.59	0.201	r
60798.10793805555	24.07	0.195	g
60798.113781354165	24.018	0.218	g
60798.12259716435	24.103	0.201	g
60799.09383925926	23.844	0.207	r
60799.098870856484	23.779	0.208	r
60799.11512106482	23.828	0.186	r
60799.12339356481	23.991	0.191	r
60799.138160462964	24.034	0.192	r
60799.148215960646	24.381	0.209	g
