mjd	mag_val	mag_band
60797.11722211805	24.05	g
60797.13096711806	23.82	g
60797.121188125	23.73	g
60799.14965511574	24.18	g
60797.101671122684	24.10	g
60798.109881122684	23.61	g
60797.08961412037	24.12	g
60798.11231211806	23.98	g
60797.09201612268	24.24	g
60799.14774112269	23.77	g
60797.10659112268	23.79	g
60798.11813711806	23.35	g
60798.13191912037	23.68	g
60798.13690211806	23.82	g
60797.130468125	23.40	g
60797.131936122685	23.65	g
60797.12361011574	23.62	g
60798.13143511574	23.63	g
60798.11717412037	23.46	g
60798.10746412037	23.48	g
60797.126063125	23.47	g
60798.119673125	23.40	g
60798.122113125	23.64	g
60797.116253125	24.37	g
60798.124066122684	23.65	g
60797.096838125	24.37	g
60797.11142412037	23.72	g
60799.14724612269	24.24	g
60798.11669711806	23.51	g
60799.150132118055	24.15	g
60797.10900711806	24.18	g
60798.12454511574	23.51	g
60797.02822511574	22.88	i
60799.032896122684	23.09	i
60799.03339511574	23.03	i
60797.04437112268	23.29	i
60797.026227118055	22.75	i
60799.034408125	23.00	i
60797.04093511574	23.09	i
60797.033545115744	23.07	i
60797.043357118055	23.40	i
60798.01544511574	23.06	i
60797.02380711806	22.73	i
60797.028706122685	22.79	i
60799.03095612268	23.14	i
60799.02849912037	22.96	i
60799.038336122685	22.87	i
60797.04288011574	23.30	i
60797.02966912037	22.93	i
60798.02528711806	23.03	i
60797.050303125	23.00	i
60798.04859211806	23.69	r
60797.07272412037	23.66	r
60799.09828412037	23.39	r
60798.061356122686	23.42	r
60799.084988125	23.27	r
60798.083352118054	23.31	r
60797.06250412037	23.47	r
60797.058118125	23.64	r
60799.09988112268	23.56	r
60798.04907612268	23.42	r
60798.07846011574	23.42	r
60798.071172118056	22.84	r
60797.067821122684	23.64	r
60799.10482511574	23.67	r
60797.07513612269	23.61	r
60799.11159612268	23.86	r
60798.050033125	23.56	r
60798.04419912037	23.42	r
60799.10727511574	23.69	r
60799.09235612269	23.38	r
60798.090702118054	23.16	r
60799.13767711806	23.59	r
60797.07709112269	23.70	r
60798.073585115744	22.98	r
60798.058897118055	23.27	r
60799.133749120374	23.74	r
60798.09893612268	22.97	r
60798.068658125	23.22	r
60797.062983125	23.66	r
60799.122903125	23.58	r
60798.085868125	23.10	r
60799.097303125	23.37	r
60799.11901011574	23.48	r
60798.05645011574	23.21	r
60797.06055412037	23.47	r
60799.11207711806	23.73	r
60799.13672011574	23.90	r
60798.07601711806	23.30	r
60799.08988511574	23.32	r
60798.046648125	23.32	r
60799.13426112269	23.68	r
60798.097968125	23.05	r
60799.131831122686	23.86	r
60799.11304011574	23.73	r
60799.11948612268	23.91	r
60798.06329711805	23.05	r
60798.09311612268	23.19	r
60798.06377912037	23.36	r
60798.08827412037	23.32	r
