mjd	phase angle	mag	rmsmag	band
60797.02380675926	18.78378899459942	23.589	0.207	i
60797.02870606481	18.78641654201229	23.494	0.192	i
60797.03851436343	18.791720824584466	23.543	0.201	i
60797.04335706018	18.794313208956584	23.818	0.217	i
60797.060553564814	18.803639310091047	23.904	0.169	r
60797.06298335648	18.80492621785373	23.99	0.167	r
60797.06782055555	18.807547123776395	23.879	0.152	r
60797.072723958336	18.810210595471485	23.876	0.196	r
60797.07513615741	18.81151316759127	23.939	0.182	r
60797.07760085648	18.812846852741384	23.503	0.12	r
60797.082482060185	18.815487724384624	23.713	0.146	r
60798.04712925926	19.332589838445962	23.546	0.205	r
60798.06865775463	19.34413424501683	23.505	0.211	r
60798.07845956019	19.34936629984868	23.446	0.189	r
60798.08827385417	19.35470731893901	23.633	0.207	r
60798.09070195602	19.355988317730134	23.654	0.188	r
60798.097968263886	19.359905958543028	23.715	0.214	r
60799.08988535879	19.889098066115036	23.827	0.198	r
60799.09779126157	19.89329343236435	23.594	0.169	r
60799.102375462964	19.89581480123581	23.315	0.174	r
60799.103849259256	19.896545183817203	23.259	0.144	r
60799.105318263886	19.897323564046705	23.693	0.187	r
60799.107274664355	19.898344293046346	23.852	0.204	r
60799.11996665509	19.905155066527197	23.66	0.155	r
60799.12141126157	19.90593355207576	23.765	0.197	r
60799.13231626157	19.911762597469743	23.687	0.183	r
60799.13474085648	19.913104818509446	23.861	0.183	r
60799.13671986111	19.914135950694224	23.789	0.159	r
